Key	Simplified Chinese	English
tut.lesson-7.9	很好，任务完成。关闭对话吧。	"Good, we're done here. Close the dialog."
tut.lesson-7.10.m	"现在回到{name}，尽可能多地将<sprite name=""res home-brew"" tint>自酿啤酒卖给他。卖完后再来找我。"	"And now go back to {name}, and sell him as much <sprite name=""res home-brew"" tint> homemade beer as he's willing to take. I'll leave you alone until you're done."
tut.lesson-7.10.f	"现在回到{name}，尽可能多地将<sprite name=""res home-brew"" tint>自酿啤酒卖给她。卖完后再来找我。"	"And now go back to {name}, and sell her as much <sprite name=""res home-brew"" tint> homemade beer as she's willing to take. I'll leave you alone until you're done."
tut.lesson-7.11	"<i>（等待你将<sprite name=""res home-brew"" tint>自酿啤酒卖给{name}。）</i>"	"<i>(Waiting until you sold some <sprite name=""res home-brew"" tint> homemade beer to {name}.)</i>"
tut.lesson-8.title	有益的朋友	Useful Friends
tut.lesson-8.1.m	现在我们来谈谈关系和引荐。在这座城镇，你需要有自己的人脉才能成事！\n去拜访你的表亲{name}，与他进行对话。	Now let's talk about relationships and introductions. In this town you really gotta know people in order to get things done!\nGo visit your cousin {name} and start a conversation with him.
tut.lesson-8.1.f	现在我们来谈谈关系和引荐。在这座城镇，你需要有自己的人脉才能成事！\n去拜访你的表亲{name}，与她进行对话。	Now let's talk about relationships and introductions. In this town you really gotta know people in order to get things done!\nGo visit your cousin {name} and start a conversation with her.
tut.lesson-8.2	如果你看向左上角，你会看到自己与{name}的关系提高了一些。\n与人做生意能够提高关系，尤其是当这个生意不那么合法的时候。	"If you look in the upper left, you'll see that your relationship with {name} improved a lot.\nDoing business with people improves relationships, and especially if the business is of the illegal kind."
tut.lesson-8.3	"随着关系的提高，你就可以开始收集<sprite name=""ui tickets"">人情。\n因为{name}对你评价颇高，你现在拥有了一些可以利用的<sprite name=""ui tickets"">人情。"	"As your relationships improve, you start collecting <sprite name=""ui tickets""> favors.\nBecause {name} has a high opinion of you, you now have a couple of <sprite name=""ui tickets""> favors ready to use up."
tut.lesson-8.4	"我们来使用一个人情吧。在与{name}的交谈中选择第二选项，讨论与<sprite name=""ui tickets"">人情和帮助有关的话题。"	"Let's spend a favor. In the conversation with {name}, select the second option to talk about <sprite name=""ui tickets""> favors and helping out."
tut.lesson-8.5	"现在选择第一个选项，询问能否<sprite name=""ui social biz intro"">引荐某个同样在买入这类商品的人。"	"Now select the first option - asking for <sprite name=""ui social biz intro""> introduction to someone who's also buying these kinds of goods."
tut.lesson-8.6	"你获得了一个被引荐给{name}的朋友的机会。完成并消耗1<sprite name=""ui tickets"">人情来获得这次引荐。"	"You're getting offered an introduction to {name}'s friend. Finish it and spend 1 <sprite name=""ui tickets""> favor to get the introduction."
tut.lesson-8.7.m	非常好，你被引荐给了{friendname}！\n多亏了{name}的暖心引荐，他已经信任了你，并愿意与你讨论与非法商品有关的话题。	"Great, you got introduced to {friendname}!\nThanks to a warm introduction from {name}, he already trusts you, and will be willing to talk about illegal goods with you. "
tut.lesson-8.7.f	非常好，你被引荐给了{friendname}！\n多亏了{name}的暖心引荐，她已经信任了你，并愿意与你讨论与非法商品有关的话题。	"Great, you got introduced to {friendname}!\nThanks to a warm introduction from {name}, she already trusts you, and will be willing to talk about illegal goods with you. "
tut.lesson-8.8	来自信任朋友的引荐，能够成为你的生意基础。\n时刻注意自己的人脉，在机会到来时接受引荐。	"Introductions from trusted friends are going to be the foundation of your business.\nMake sure to keep an eye on your network, and take introductions when you can."
tut.lesson-8.9.m	"现在开车前往{friendname}，卖给他一些<sprite name=""res home-brew"" tint>自酿啤酒。你知道该怎么做。卖完之后再来找我。"	"Now drive over to {friendname}, and sell him some <sprite name=""res home-brew"" tint> homemade beer as well. You know how to do this. I'll see you when you're done."
tut.lesson-8.9.f	"现在开车前往{friendname}，卖给她一些<sprite name=""res home-brew"" tint>自酿啤酒。你知道该怎么做。卖完之后再来找我。"	"Now drive over to {friendname}, and sell her some <sprite name=""res home-brew"" tint> homemade beer as well. You know how to do this. I'll see you when you're done."
tut.lesson-8.10	"<i>（等待你将更多<sprite name=""res home-brew"" tint>自酿啤酒卖出去。）</i>"	"<i>(Waiting for you to finish selling more <sprite name=""res home-brew"" tint> homemade beer.)</i>"
tut.lesson-9.title	探索	Exploration
tut.lesson-9.1	"现在你可以将注意力转移到这里。\n看到这个带有<sprite name=""biz unscoped"">标志的标记了吗？那是一个还未经接触的商家。"	"Now let me direct your attention over here.\nSee this marker with the <sprite name=""biz unscoped""> icon? That's a business that hasn't been scoped out yet."
tut.lesson-9.2	"我们不知道那里是什么情况，但我们能够查明。\n如果你从未到过那里，那就开车前往那个街角，令标记变成绿色吧。\n到达那里后，点击<sprite name=""biz unscoped"">标记进行查探。去试试吧，我等着。"	"We don't know what goes on in there, but we can find out.\nIf you're not there already, drive over to that corner so that the marker turns green.\nOnce you're there, click on the <sprite name=""biz unscoped""> marker to scope it out. Go ahead, I'll wait."
tut.lesson-9.3	"你在街角停留了一段时间，观察着附近的情况，因而消耗了1<sprite name=""ui action pts"">行动点数。\n但现在我们了解了它的名字是<b>{bizname}，</b>我们对于它的具体业务有了一些了解：将鼠标移动到屏幕顶部的通知即可了解全部详情。"	"You took the time to hang out on the corner and observe the comings and goings, so it took 1 <sprite name=""ui action pts""> action point.\nBut now we learned that it's called <b>{bizname},</b> and we got some idea about what it does: you can see all the details if you mouse over the notification at the top of the screen."
tut.lesson-9.4	刚开始探索这座城市时，所有商家都处于未知状态，你可以自由决定对哪个商家进行查探。	"Once you start exploring the city, all businesses will start out unknown, and it's up to you to pick which ones to scope out."
tut.lesson-9.5	说到这个，这是一座巨大的城市，去外面进行一些探索对你来说并无坏处！	"Speaking of which - it's a big city, and it would be good for you to get out there and explore it a little bit!"
tut.lesson-9.6	尚未进行过探索的街角显示为深褐色，你不知道那里都存在哪些商家。\n在对街角进行探索后，你就会发现这里的真实情况。	"Corners that you haven't explored yet show up as sepia colored, and you don't know what kinds of businesses are located there.\nIt's only after you explore a corner that you'll find out what's there."
tut.lesson-9.7	"开车前往这个位置的街角。\n友情提示，该行动会消耗大量<sprite name=""ui movement pts"">移动点数！如果你的移动点数不足，进入下一回合就好。\n前去探索那个新街角吧，我在这里等你。"	"Go ahead and drive to this unknown corner.\nBut just as a heads up - this will consume a lot of <sprite name=""ui movement pts""> movement points! If you don't have enough, don't forget to advance to the next turn.\nGo and explore the new corner, and I'll wait."
tut.lesson-9.8	这就是探索地图的方式——一点一点来、一个街角接着一个街角查探。你可以开着车四处游荡，不断寻找新商家并对它们进行查探，随后与商家业主进行对话，了解他们正在做着什么买卖。\n但如果你能获得暖心的引荐，情况会好上许多，因为对方早已开始信任你了，而获得一个陌生人的信任明显更困难一些。	"So this is how map exploration works - bit by bit, corner by corner, you can drive around, identify new businesses, scope them out, and then talk to the owners to find out what they're buying and selling.\nBut if you can get warm intros, that's much better, because they already start out trusting you. Earning the trust of someone completely unknown is much harder."
tut.lesson-9.9	非常好，你学得很快。\n我还有一个任务要交给你。\n还记得那些存放在安全屋中的啤酒吗？去把它们卖掉吧，全部卖掉！之后我们用得来的钱开展一个新业务。一家酿酒厂如何？或者一家地下酒吧？\n四处看看吧，试着将更多啤酒卖给{name}，或其他对其有购买意愿的人，如果他们愿意将你引荐给其他人，那就接受吧！\n等你总计获得<b>{amt}</b>后再来找我吧，之后我们再聊。	"Great, you're picking things up quickly.\nSo now I have another task for you.\nRemember all the beer stashed in the safehouse? Go ahead and sell it off, all of it! Afterwards we'll invest that money into some kind of a new operation. Maybe a brewery? Or a speakeasy?\nSo go around, try to sell more to {name} or anyone else who's buying, and if they introduce you to more people take them up on it!\nI'll wait until you have <b>{amt}</b> in total, and then we'll continue."
tut.lesson-9.10	你还真是勤勤恳恳啊。\n既然你现在拥有了一笔不小的积蓄，我们可以在这座城市中为我们打造一段新生活了。	"Well aren't you just hitting on all six today.\nNow that you have a nice pile of dough, we can start building a new life for ourselves in this city."
tut.lesson-10.title	业务	Operations
tut.lesson-10.1	现在我们来聊聊<b>业务。</b>想在这座城市里挣大钱，就必须亲自生产并出售非法私酒。\n禁酒法令将酒水的制作和售卖定义为非法——正因如此，这些酒水也变得利润颇丰。\n前提是，你没有被捕。	"Now let's talk about <b>operations.</b> The real money in this city comes from manufacturing and selling your own illegal alcohols.\nThe Prohibition Act made booze making and distribution illegal, and therefore incredibly profitable.\nAs long as you don't get pinched, that is."
tut.lesson-10.2	如要开展一个新业务，你需要控制一栋建筑，且这栋建筑的后面必须拥有足够的可用空间。\n很幸运，这间安全屋后面有着许多空间，这意味着我们可以在这里开展新业务。\n驾车返回安全屋吧。	"To establish a new operation you need a building you control, with some empty space in the back.\nFortunately there's plenty of room in the back of the safehouse, so we can establish a new operation there.\nDrive back to the safehouse."
tut.lesson-10.3	很好，首先，让我们取出一些现金。\n点击安全屋的标记打开安全屋的对话框。然后切换至库存选项卡。	"Good. First, let's unload some of this cash.\nOpen the safehouse dialog by clicking on its marker. Then switch to the storage tab."
tut.lesson-10.4	现在将一批现金从车辆中拿出，放入自己的安全屋。谨记，你可以使用<b>ctrl</b>和<b>shift</b>键以更快的速度移动现金和资源。\n等待你将<b>{amt}</b>储存到安全屋后再来找我吧。	Now move a bunch of cash from your vehicle and into the safehouse. Remember you can use <b>ctrl</b> and <b>shift</b> keys to move cash and resources faster.\nI'll wait here until you have <b>{amt}</b> stored in the safehouse.
tut.lesson-10.5	很好。现在切换至空的后室选项卡。	Great. Now switch to the empty backroom tab.
tut.lesson-10.6	如我之前提到的那样，这间后室是可用的。按下“新业务”按钮。	"As I mentioned, the backroom is available. Press the 'new operation' button."
tut.lesson-10.7	虽然可以开展多种业务，\n但你只能开始那些<i>已知</i>运作方式的业务。在未来，你可以学习到更多业务的运作方式，但现在你能够生产的东西并不多。	"These are the various operations you can set up.\nThese are just the ones you know how to run <i>right now</i>. In the future, you will learn about many more, but right now you only know how to make a few things."
tut.lesson-10.8	既然你认识好几个对啤酒感兴趣的人，那我们就开展<b>自酿啤酒</b>业务吧，这样你就可以轻松地将货物卖出。\n选中该业务后，按下“开展”即可。	"Since you know several people who are interested in beer, let's build the <b>home brew</b> operation, and you'll be able to distribute it easily.\nMake sure that operation is selected, and then press 'Build'."
tut.lesson-10.9	非常好，虽然它需要数个回合才能开始运作，但你可以预览一下它的运作方式。	"Great. It will take a few turns until it's operational. But in the meantime, here's an overview of how this will work."
tut.lesson-10.10	你能够看到，酿酒设备需要<b>消耗</b>麦芽糖浆和空粗陶罐，来<b>生产</b>罐装自酿啤酒。\n将鼠标移动到各个条目，了解更多详情。	"Here you can see the brewery <b>consumes</b> malt syrup and empty stoneware crocks, in order to <b>produce</b> crocks full of homemade beer.\nMove your mouse over the different elements to see more details."
tut.lesson-10.11	另外，你已经拥有了足够的麦芽糖浆储备，但你缺乏足够的粗陶罐！你必须去购买一些，没有足够的材料，这项业务就毫无意义。	"Also, you already have enough malt syrup in storage, but you're missing stoneware crocks! You'll have to go and buy more, because without supplies this operation won't amount to much."
tut.lesson-10.12	另外，当你拥有了更多的金钱和人手之后，就可以考虑为该项业务分配一名管理者，或添加升级措施了，这些都能够极大地提高业务的利润率！	"And by the way, later on when you have more money and people, consider assigning a manager to this operation, or installing some upgrades and expansions. They can make a world of difference in improving your profit margins!"
tut.lesson-10.13.m	真是太棒了，你已经开始了新的酿酒业务，而且几乎没有用到叔叔的帮助。你的父母一定会非常骄傲。这提醒了我，我应该给他们写一封信了。	"Well isn't this the bee's knees, you're already starting a new brewing operation, and with only a little bit of help from your uncle. Your parents would be so proud. Which reminds me, I should write them."
tut.lesson-10.13.f	真是太棒了，你已经开始了新的酿酒业务，而且几乎没有用到婶婶的帮助。你的父母一定会非常骄傲。这提醒了我，我应该给他们写一封信了。	"Well isn't this the bee's knees, you're already starting a new brewing operation, and with only a little bit of help from your aunt. Your parents would be so proud. Which reminds me, I should write them."
tut.lesson-10.14	与此同时，你应该开始生产更多粗陶罐，好让业务可以产出更多商品。\n我不知道有谁在出售粗陶罐，你得自己去寻找。	"In the meantime, you should go and procure more stoneware crocks, so that the operation can start producing some goods for sale.\nI'm not sure who sells them, you'll have to drive around and figure that out yourself."
tut.lesson-11.title	信息栏和报告	Overlays and Reports
tut.lesson-11.1	查看信息栏和报告能够为你提供许多帮助。	"Let's quickly take a look at some informational overlays and reports, which are going to help you in various ways."
tut.lesson-11.2	你会在左上角看到多个下拉菜单，能够为你提供更多信息。\n点击第一个。	In the upper left corner you can see a variety of drop-downs with additional information.\nClick on the first one.
tut.lesson-11.3	这是资源显示，向你展示了你认识的人正在购买或出售哪些特定资源。\n下滑至“粗陶罐”的位置然后点击，查看正在出售这种资源的人物。你还可以查找其他资源。\n你可以按下<b>Z</b>键来快速打开此信息栏。	"This is the resources display. It shows you who you know that buys or sells specific resources.\nGo ahead and scroll down to 'Stoneware Crocks' and click on it, to see who trades in that resource. You can also look through the other resources.\nYou can also bring this overlay up quickly by pressing <b>Z</b>."
tut.lesson-11.4	你也可以选择多种资源，然后点击左侧的高亮按钮将它们标记为喜爱。你每次打开这个信息栏时，这些喜爱的资源都会出现。\n你可以通过点击右侧的高亮按钮来切换喜爱的物品。\n你可以亲自尝试一下。当你完成时，可用同一个左上按钮关闭信息栏，然后我们将继续。	"You can also select multiple resources, and then mark your selection as favorite by pressing the left highlighted button. These favorites will be remembered whenever you open this overlay.\nYou can then toggle your favorites by hitting the right highlighted button.\nFeel free to try it out. When you're done, close the overlay using the same top left button, and we'll continue."
tut.lesson-11.5	资源显示附近是一个信息栏列表。点击将其打开。	Next to it is a list of informational overlays. Click to open it.
tut.lesson-11.6	虽然这里存在多个信息栏，但我们现在只需要关注其中几个。	"There are several overlays here, but we'll focus on just a few right now."
tut.lesson-11.7	<b>威望</b>信息栏显示了你在社区中的威望等级。\n领地的增长基于你在每个街区获得的威望，所以提高威望等级至关重要。这个话题我们之后再聊。\n你可以按下<b>C</b>键来快速打开此信息栏。\n尽情探索吧，准备就绪后点击“继续”即可。	"The <b>Respect</b> overlay shows your level of respect in the neighborhood.\nYour territory grows based on the respect you have on each block, so it's important to grow and keep respect levels high. We'll talk about how to do that a little bit later.\nYou can also bring this report up quickly by pressing <b>C</b>.\nFeel free to explore, and then click 'Continue' when ready."
tut.lesson-11.8	<b>热度</b>信息栏同样非常重要。它显示了警方对每个街角的关注程度，具体程度与非法活动或战斗有关。\n热度等级越高，遭到警方意外“拜访”的几率就越高。\n你可以按下<b>X</b>键来快速打开此信息栏。\n准备就绪后点击“继续”即可。	"The <b>Heat</b> overlay is also very important. It shows the amount of police attention on each corner, such as due to illegal activities or fights.\nThe higher the heat level, the higher the chance of a surprise police visit.\nYou can also bring this report up quickly by pressing <b>X</b>\nClick 'Continue' when ready."
tut.lesson-11.9	<b>警区</b>信息栏显示了每个街角的所属警区。\n每个警区都有一名队长，他们会对区域进行巡逻。与他们建立友谊说不定是个好主意。\n准备就绪后点击“继续”即可。	The <b>Police Precincts</b> overlay shows which corner belongs to which precinct.\nEach precinct has one captain who patrols the area - it might be a good idea to befriend them.\nClick 'Continue' when ready.
tut.lesson-11.10	下方的<b>区域</b>信息栏中显示了城市的区域规划。\n虽然商家通常会出现在工业和商业区中，但居住区中也可能有意外收获。\n准备就绪后点击“继续”即可。	"At the bottom, the <b>Zoning</b> overlays show city zoning regulations.\nBusinesses are typically limited to industrial and commercial zones, but residential zones might have their own surprises too.\nClick 'Continue' when ready."
tut.lesson-11.11	在区域信息栏下方的<b>人口</b>信息栏显示了城中各个民族的分布情况。\n人们会更喜欢与自己民族相同的人，所以你可以利用这一优势。\n准备就绪后点击“继续”即可。	"Below that, the <b>Population</b> overlays show the distribution of different ethnicities in the city.\nPeople of the same ethnicity are predisposed to like each other a bit more than average, so use that to your advantage.\nClick 'Continue' when ready."
tut.lesson-11.12	第三个按钮是下拉菜单，包含了各种报告，按下按钮将其展开。	Now the third drop-down is a collection of reports. Press that button to open it.
tut.lesson-11.13	你可以查看下拉菜单中的多种报告，它们反映着游戏中的各部分内容。\n财政报告可能是其中最吸引人，但其他报告也有各自的用途。\n自由查看一番后，点击“继续”即可。	"This drop-down lists a number of reports you can consult, related to different parts of the game.\nThe financial report is probably the most immediately interesting one, but the others are going to be very useful as well.\nFeel free to look through them, and then click 'Continue'."
tut.lesson-11.14	第四个按钮是游戏的百科全书，里面包含与游戏有关的各种信息。去看看吧！	"Finally the fourth button shows the game encyclopedia, which contains information about various aspects of the game in one place. Take a look!"
tut.lesson-11.15	当你对游戏的某个内容存在疑问时，就来这里看看吧。\n自由查看一番后，点击“继续”即可。	"Whenever you have questions about some game element, check here first.\nFeel free to look around, and then click 'Continue'."
tut.lesson-11.16	好吧，回到收集材料这个目标上来。\n我之后会再来，与你讨论关于领地的话题。发展自己的团伙与领地非常重要，只有这样才能将自己的利益最大化，保护自身不受敌对帮派的攻击。	"All right, I'll let you get back to your goal of gathering supplies.\nI'll be back a little bit later, to talk about territory. Growing your crew and your territory is going to be crucial, in order to maximize profits and also to protect yourself from rival outfits."
tut.lesson-11.17	我刚才提到了敌对帮派，对吧？\n如果目前你还没有树敌，别担心，这是早晚的事。但这个话题我们可以之后再聊。\n现在，我们要将注意力集中在啤酒生产上！完成屏幕左上角的目标，买一些粗陶罐，把他们运送到安全屋。\n顺便，当你开车拜访人们的时候，你可以用<b>左Shift键</b>代替频繁的<b>左键点击</b>以跳过其它话题并直接打开购买或出售对话框。	"Oh yeah, did I say rivals?\nIf you haven't run into any rivals yet, don't worry, you will. But we can talk about that later as well.\nFor now, concentrate on getting some beer production going! Follow the goals in the upper left of your screen, and buy some more stoneware crocks and deliver them to your safehouse.\nBy the way, as you drive around and visit people, instead of a regular <b>left click</b> you can use <b>shift left click</b> to get right into a buying or selling conversation, skipping other topics."
tut.lesson-12.title	门面和领地	Fronts and Territory
tut.lesson-12.1	我们来聊聊另一个重要的话题：<b>领地。</b>\n控制街角是帮派成功的基础。\n拥有自己的领地才能开展更多业务，雇佣更多成员。	Let's talk about another important thing: <b>territory.</b>\nControl of street corners is the cornerstone of every successful outfit.\nYou need to have territory under your control before you can build more operations or hire any crew.
tut.lesson-12.2	现在，你只控制了一个街角，也就是你的安全屋所在的那个。\n但根据我的计算，你还需要控制五个或者六个街角才能开始雇佣更多的人手，扩张自己的帮派。	"Right now you only have one corner under your control, the same one where your safehouse is.\nBut by my calculation, you will need about five or six before you can start hiring more people and growing your outfit."
tut.lesson-12.3	威望是控制街角的基础。你的威望会随着本地人对你了解的加深而提高。威望达到100点后，街角便会归顺于你。	"Control over corners comes from respect. As locals learn about you, your respect rises, and if it's close to 100 the corner will switch over to pay allegiance to you. "
tut.lesson-12.4	领地能够带来很多好处。首先，你拥有的街角越多，能够雇佣的人手、能够控制的建筑数量就越多。\n其次，领地内的商家能够为你提供各种机会。也正因如此，你需要尽可能多地对领地进行扩张。\n最后——或许我不应该告诉你——但你可以向领地内的商家勒索现金。这种做法非常野蛮，可能带来恶劣影响，但却能产生稳定的收入。	"Territory brings many benefits. First, the more corners you have, the more people you can hire and buildings you can control.\nSecond, businesses inside your territory will be offering you all sorts of opportunities, so it's good to expand as much as possible.\nFinally, and maybe I shouldn't be telling you this, but businesses inside your territory can be extorted for cash. It's a brutal thing to do, and it might have repercussions, but it does produce a steady revenue stream."
tut.lesson-12.5	如果要进行勒索，你需要建立一个<b>门面。</b>\n一个新的门面是你在社区内的立足之本，你可以先占领一个街角，然后利用这个街角上的门面将周围所有街角纳入你的领地。\n我会告诉你该怎么做。	"In order to do any of that, you'll need to set up a <b>front.</b>\nA new front is how you get a foothold in a community, by grabbing a hold of a single corner first, and then using that front to bring all the surrounding corners into the fold as well.\nI'll show you how."
tut.lesson-12.6.m	拜访你的表亲{name}，看看他是否有兴趣为你运营门面。	Go visit your cousin {name} and see if he'd be interested in running a front for you.
tut.lesson-12.6.f	拜访你的表亲{name}，看看她是否有兴趣为你运营门面。	Go visit your cousin {name} and see if she'd be interested in running a front for you.
tut.lesson-12.7	"在这场对话中，先进入<sprite name=""ui tickets"">人情步骤，然后询问<sprite name=""ui tribute"">建立一个门面。\n完成对话并支付所需现金和<sprite name=""ui tickets"">人情后即可建立一处门面。"	"In this conversation, start with the <sprite name=""ui tickets""> favors step, and then ask about <sprite name=""ui tribute""> starting a front.\nFinish the conversation and pay the required cash and <sprite name=""ui tickets""> favor to start a front."
tut.lesson-12.8	太好了！一个新门面已经建成。你可以看到，这个街角立刻被纳入了你的领地！	Great! A new front has been set up. You can see this corner immediately joined your territory!
tut.lesson-12.9	门面有多种用途：它们可以用于扩张你的领地，提高你在社区中的威望。如果你正在对各个商家进行勒索，它们还会为你收集保护费。	"Fronts serve multiple purposes: they can be used to expand your territory, by increasing your respect in the neighborhood. Also, if you're extorting businesses, they will be collecting the cash for you to pick up."
tut.lesson-12.10	现在，让这个新门面开始着手提高你在此处的威望吧，使你能够进一步扩张领地。	"Now let's have the new front start work on increasing your respect, to grow the territory even more."
tut.lesson-12.11.m	"回去找你的表亲{name}，这次请求他<sprite name=""ui pip front expansion ready"">扩张你的领地。\n然后同意他开出的价码，这样他就会开始行动。"	"Go back to cousin {name}, but this time ask him about <sprite name=""ui pip front expansion ready""> expanding your territory.\nThen agree to his price, and he'll get started."
tut.lesson-12.11.f	"回去找你的表亲{name}，这次请求她<sprite name=""ui pip front expansion ready"">扩张你的领地。\n然后同意她开出的价码，这样她就会开始行动。"	"Go back to cousin {name}, but this time ask her about <sprite name=""ui pip front expansion ready""> expanding your territory.\nThen agree to her price, and she'll get started."
tut.lesson-12.12	很好，{name}正在努力提高你在这个社区内的知名度。\n在七或八个回合后，这个街角就会认可你并加入你的领地。\n希望你能耐心等待一阵。	"Good, {name} is hard at work improving your name recognition in the neighborhood.\nIn seven or eight turns, that corner should recognize you and join your territory.\nI'll wait with you until it does."
tut.lesson-12.13	<i>（等待新的街角加入玩家的领地，整个过程仅会花费几个回合，你可以在这个过程中打理自己的生意。）</i>	<i>(Waiting for a new corner to join player's territory. It should only take a few turns. Meanwhile you can go about your business.)</i>
tut.lesson-12.14	就是这样！现在你已经控制了三个街角。还不错，甚至可以说非常好。	"And there it is! You now have three corners under your control. Not bad, not bad at all."
tut.lesson-12.15	"现在你要记住，你的门面在为你工作期间，必然会产生一定的费用。所以你每个月至少要去拜访一次自己的门面，承担它们的支出（如果你逾期未到，门面会显示这个<sprite name=""ui pip front needs"">支援图标）。\n另外，你还可以对区域内的商家进行勒索。这个门面会帮你收取保护费，并从中拿出一部分用于承担支出，将剩余的以现金的形式交到你的手上。\n过一段时间之后我们再来。"	"Now here's something to remember. If your front is working on your behalf, it's going to have some costs. Make sure to visit them at least once a month, and cover their expenses (they will display this <sprite name=""ui pip front needs""> support icon if you're overdue).\nAlternatively, you could extort some businesses in the area. Then the front will collect payments, skim off the top to cover expenses, and give you the rest in cold hard cash.\nWe'll come back to this in a moment."
tut.lesson-12.16	继续进行扩张，直至控制的街角总数达到五个。\n你应该回去找{name}，支付一定金钱用于获得更多街角，越多越好。\n另外，你也可以再建造一个门面，但在已经存在的门面附近进行扩张更为划算一些。\n我会帮你进行记录，记得查看屏幕左侧的任务列表。	"Now keep expanding until you've reached five corners total.\nYou should go back to {name} and pay to convert more corners, as many times as possible.\nAlternatively, you could set up a different front, but expanding around an existing front is more cost-efficient in the long term.\nI'll make a note for you, see the missions list on the left side of your screen."
tut.lesson-13.title	勒索	Extortion
tut.lesson-13.1	我之前提到过勒索这个话题，还记得吗？\n我必须承认，自己从来没做过这种事。我是一个心地善良的人，没有人畏惧于我。\n我在自己的小店里总能看到一些暴徒。那些家伙是真正的狠角色，他们会吹嘘自己是如何为附近的商家提供“保护”的。\n我会把方法告诉你。	"I said something about extortion, didn't I?\nI guess it's time for me to fess up. I've never tried something like that myself. And I'm too much of a softie anyway, nobody's afraid of me.\nBut whenever I'm at my local joint, there's a couple of these goons, real tough guy types, boasting how much they're raking in from offering 'protection' to businesses all around.\nLet me tell you how it works."
tut.lesson-13.2	首先，你要找到一个相对弱小的商家。拿这个举例吧。\n它必须处在你的领地内，且必须<i>非常接近门面，</i>否则他们不会畏惧于你，你的计划也无法实施。	"First, you identify a vulnerable business. Like this one, for example.\nIt has to be inside your territory, and it has to be <i>very close to a front,</i> otherwise this won't work, they won't be afraid of you."
tut.lesson-13.3	"驾车前往那里，讨论<sprite name=""ui pip front extortion"">保护相关的事宜。全程保持微笑，但不要表现出友善，明白吗？\n他们会明白你的意图。一些人会立刻屈服，尤其是那些尊重你的人。\n但如果他们拒绝屈服，你就有新麻烦要处理了，而且你必须立刻解决，不然就会有对你不敬的行为产生。"	"Then you drive over there, and strike up a conversation about <sprite name=""ui pip front extortion""> protecting them. Be all smiles, but not friendly, you know?\nThey'll get it immediately. And some of them will cave right away, especially those that really respect you.\nBut if they don't, you'll have a new problem on your hands, and you'll have to do something about it, otherwise you'll have disrespect hanging over you."
tut.lesson-13.4	在任何情况下，勒索都是肮脏的。这会令人们感到不悦，并向其他人抱怨此事。\n与每一个对人造成伤害的行为相同，这个行为也会影响你与其他人的关系。反之亦然，如果你对人们友善，人们也会帮你进行宣扬。	"And in any case, remember that extorting people is a nasty business. It will make them unhappy, and they'll complain to others about it.\nLike every hurtful action, people will talk, and this might hurt your relationships with other people. And vice versa, if you do good by people, they will talk it up as well, and influence others."
tut.lesson-13.5	"我看得出你已经跃跃欲试了。去吧，驾车前往那个商家，试着谈论一下<sprite name=""ui pip front extortion"">“保护”的相关事宜，看看会发生什么事情。我在这里等你。"	"I can see you're itching to give it a try. Go ahead, drive over to that business, try talking about <sprite name=""ui pip front extortion""> protecting them from misfortune, and see what happens. I'll wait here."
tut.lesson-13.6	"<i>（你需要成功地<sprite name=""ui pip front extortion"">在你新获得的领地勒索一个商家）</i>"	"<i>(Waiting for you to successfully <sprite name=""ui pip front extortion""> extort a business inside your newly acquired territory.)</i>"
tut.lesson-13.7.m	你成功地威胁并伤害了一个无辜的人，只为获取一点钱财。\n你可怜的母亲并不知道自己的儿子变成现在这幅样子，真是一件好事。	"And there you go. You threatened and hurt some innocent person, just to make a buck.\nIt's a good thing your poor mother doesn't know how her little boy turned out."
tut.lesson-13.7.f	你成功地威胁并伤害了一个无辜的人，只为获取一点钱财。\n你可怜的母亲并不知道自己的女儿变成现在这幅样子，真是一件好事。	"And there you go. You threatened and hurt some innocent person, just to make a buck.\nIt's a good thing your poor mother doesn't know how her little girl turned out."
tut.lesson-13.8	但这就是弱肉强食的法则。被你勒索的人会每月将一个信封交到距离最近的门面。门面会对保护费进行收集，从中扣除运营费用后，将剩下的保管起来，供你随到随取。\n记得每过一段时间就去你的门面看看，将盈余拿走，或支付必要的运营费用。如果门面破产了，你会失去所有该门面获得的领地！	"But that's how this works. The people you extort will bring a little envelope to the nearest front every month. The front will then collect it all, subtract its operational expenses, and have the rest ready for you to pick up whenever you want.\nJust remember to visit your fronts regularly to pick up the money, or to cover their costs if necessary. If a front goes bankrupt, you will lose all the territory it accumulated!"
tut.lesson-13.9	"现在让我们回到扩张领地这件事上，你现在拥有5个街角。\n首先，去查看门面的业主是否需要<sprite name=""ui pip front needs"">支持或者<sprite name=""ui pip front needs urgent"">紧急支持，并帮助他们。\n然后，与门面业主交谈，并获得更多<sprite name=""ui pip front expansion ready"">街角扩张！\n由于获得5个街角需要一段时间，你可以继续制造并销售自酿啤酒，并继续寻找其他引荐人。晚些再见！"	"And now let's go back to growing your territory, so you have a total of 5 corners.\nFirst, make sure to go and help out the owner of your front if they're in need of <sprite name=""ui pip front needs""> support or <sprite name=""ui pip front needs urgent""> urgent support.\nSecond, talk to the front owner, and get more <sprite name=""ui pip front expansion ready""> corner expansions going!\nAnd since getting to 5 corners is going to take a while, continue to manufacture and sell some homemade beer, and keep looking for more introductions. I'll see you later!"
