Key	Spanish	English
tut.lesson-14.9	<i>(Esperando a que le asignes el vehículo al nuevo miembro).</i>	<i>(Waiting for you to assign the vehicle to the new hire.)</i>
tut.lesson-14.10	"¡Hale, finiquitado! El nuevo recluta ya está listo para la acción.\nSi quieres controlarlo directamente, haz clic en su tarjeta e indícale su destino y encargo. Puede hacer lo mismo que tú.\nA su vez, también puedes asignarle una <b>ruta de reparto</b> específica para que siga una lista de entregas.\nNos pondremos a ello en un segundo."	"And there you go! Now the new member is ready to work.\nIf you want to direct them manually, you can just click on their card in the list, and tell them where to go and what to do. They can do everything that you can.\nAlternatively, you can assign them a specific <b>delivery route,</b> and they will just follow a specific list of deliveries.\nWe’ll get that set up in a moment."
tut.lesson-14.11	Cumple la misión que aparece a la izquierda visitándome en el piso franco e iniciando una conversación.\nTengo algo que darte.	"Now finish your mission on the left hand side, by visiting me at the safehouse and starting a conversation.\nI have something waiting for you."
tut.lesson-16.title	El futuro	Moving On
tut.lesson-16.1.m	"Querido sobrino, quiero compartir contigo mis últimos consejos."	"My dear nephew, I have a few final words of advice for you."
tut.lesson-16.1.f	"Querida sobrina, quiero compartir contigo mis últimos consejos."	"My dear niece, I have a few final words of advice for you."
tut.lesson-16.2	"En primer lugar, intenta hacerte con otro edificio. Así aumentarás tu base de operaciones.\nBusca a quienes tengan el <sprite name=""ui pip social expansion""> icono de expansión de edificios, ya que indica que buscan nuevas oportunidades.\nHe añadido una nueva misión a la lista como recordatorio."	"First, try to get yourself an additional building. This will greatly increase your base of operations.\nLook for people who have the <sprite name=""ui pip social expansion""> building expansion icon, they're actively looking for an opportunity.\nI added a new mission on your list as a reminder."
tut.lesson-16.3	"En segundo lugar, sigue expandiendo tu <b>territorio</b> y ganando contactos.\nHay oportunidades a la vuelta de cada esquina, pero solo para quienes se dan a conocer."	"Second, keep <b>expanding</b> both your territory and your connections.\nThere are many opportunities here, but they only come to those who make their name known."
tut.lesson-16.4	"En tercer lugar, no creas saberlo todo. Conversando podrás aprender nuevas <b>habilidades</b> y descubrir <b>recursos</b> desconocidos. ¡Habrá algunos más rentables que otros!"	"Third, there is still a lot you don't know. As you talk to people, try to learn new <b>skills</b>, and try to find out more about <b>resources</b> that you haven't explored yet. Some of those can be really profitable!"
tut.lesson-16.5	"En cuarto lugar, la <b>competencia</b> existe. Te toparás con agentes de policía, camorreros y otras organizaciones. Volveremos a hablar cuando esto ocurra."	"Fourth, expect <b>competition</b>. Over time you will meet cops, corner hooligans, and other outfits. I'll be back with more advice when that happens."
tut.lesson-16.6	"Por último, no pierdas de vista las <b>finanzas</b>. El dinero lo es todo en el oficio y, si te quedas sin blanca, tu carrera se vendrá abajo en un abrir y cerrar de ojos."	"Finally, keep an eye on your <b>finances</b>. Money is the grease in the gears of commerce, as they say, and if you ever run out, this whole operation will come to a grinding halt."
tut.lesson-16.7	"¡Buena suerte! Me sorprende que le hayas pillado el truco tan rápido a esto.\nEstamos en contacto por si la situación se complica, pero para lo demás, sé independiente.\n¡Diviértete en la gran ciudad!\n\n<i>(Se desactivará el tutorial principal. Puedes activarlo de nuevo en los ajustes del menú principal).</i>"	"Good luck, kid! Who knew you'd do so well so quickly.\nI'll be back with more advice if the situation calls for it, but otherwise you're on your own.\nHave fun in the big city!\n\n<i>(The main tutorial will now be turned off. You can turn it back on in settings in the main menu.)</i>"
tut.event.title	Consejo de juego	Gameplay Hint
tut.event.movementpts	"Te has quedado sin <sprite name=""ui movement pts""> puntos de movimiento. Los recuperas todos al principio de cada turno. Pulsa <b>“Siguiente turno”</b> en la parte superior de la pantalla para pasar turno."	"You ran out of <sprite name=""ui movement pts""> movement points. They refill at the start of each turn. Press <b>'Next Turn'</b> at the top of the screen to advance to the next turn."
tut.event.actionpts	"Te has quedado sin <sprite name=""ui action pts""> puntos de acción. Los recuperas todos al principio de cada turno. Pulsa <b>“Siguiente turno”</b> en la parte superior de la pantalla para pasar turno."	"You ran out of <sprite name=""ui action pts""> action points. They refill at the start of each turn. Press <b>'Next Turn'</b> at the top of the screen to advance to the next turn."
tut.event.goon	"¡Acabas de cruzarte con {groupname}!\nEs uno de los camorreros de poca monta que hay por toda la ciudad que, a diferencia de las organizaciones, ocupa una única esquina. Estos matones suelen ser un tanto posesivos, pero sus metas personales son insignificantes.\nSi os lleváis bien, quizás comparta acceso a algunos productos ilegales o te eche una mano con algo. No obstante, si quieres declararle la guerra, solo tienes que iniciar una conversación y recurrir a los insultos."	"You just met {groupname}!\nThey are one of the many small-time troublemakers that can be found all over the city. Unlike outfits, these hooligans only occupy one corner, and while they can get very possessive of it, their ambitions are limited.\nIf you're on good terms, they might share access to some illegal goods, or help you in another way. However, if you want to get in a fight, just get into a conversation, start insulting them, and see what happens."
tut.event.gang	"¡Acabas de cruzarte con {groupname}!\nEsta es una de las otras organizaciones que están tan interesadas en sacarle partido a la prohibición como tú, por lo que probablemente compitan por recursos o clientes.\nPuedes optar por una relación pacífica o una más agresiva, pero deberías tener bien claro las capacidades de cada una, ya que hay insultos y ofensas que no se acaban olvidando nunca."	"You just met {groupname}!\nThis is one of the other organized outfits. Just like you they are interested in profiting from prohibition, and they will likely be competing with you for resources or customers.\nYou can approach them peacefully, or not so peacefully, that's up to you. Just pay attention to how strong you are relative to them, and remember that some insults and injuries are not quickly forgotten."
tut.event.cop	"¡Acabas de cruzarte con {groupname}!\nLos agentes de policía organizarán redadas en esquinas con mucho ruido sin previo aviso y patrullarán sus distritos en busca de malhechores que detener.\nNo es mala idea tener una buena relación con el agente de tu jurisdicción (que puedes conseguir a través de un contacto en común), ya que con una pequeña contribución harán la vista gorda e ignorarán a tu organización."	"You just met {groupname}!\nPolice officers will make surprise raids at corners with a lot of heat, and at other times they will patrol their district and arrest miscreants.\nIt might be beneficial to become good friends with your precinct officer, perhaps through a recommendation from a shared connection, and then pay them off to ignore your outfit's activities."
tut.event.prod.complete	Una de tus operaciones ha completado su ciclo de producción. Se ha colocado el producto final en el almacén de tu edificio.	One of your operations has completed its production cycle. Resulting product has been placed in the storage room at your building.
tut.event.prod.stalled	Una de tus operaciones está en pausa. Puede que falten recursos. Examina la operación para asegurarte de que tienes los materiales necesarios.	One of your operations has stalled. This is often due to the lack of source materials. Inspect your operation and make sure it has all the materials it needs.
tut.event.levelup	"¡Un miembro de tu organización ha ganado suficiente experiencia para subir de nivel!\nHaz clic en el <sprite name=""xp general""> icono de experiencia para escoger una nueva habilidad."	"One of your crew members gained enough experience to gain a new level!\nClick on the <sprite name=""xp general""> experience ticker to pick a new ability for them."
tut.event.outpost-can-expand	Uno de tus frentes está listo para expandir tu territorio.\nVisítalo y paga para aumentar el respeto en una esquina nueva. ¡El respeto nunca sobra!	One of your fronts is ready to expand your territory further.\nVisit your front and pay them to increase respect on a new corner. There's no such thing as having too much respect!
tut.event.outpost-urgent	"¡Uno de tus frentes necesita tu ayuda de inmediato!\nLas avanzadas que no puedan cubrir sus gastos quiebran y cierran, ¡lo que hará que las esquinas cercanas dejen de respetarte y pierdas el territorio!\nBusca un edificio con el <sprite name=""ui pip front needs urgent""> icono del sobre y ve de inmediato."	"One of your fronts urgently needs your support!\nAn outpost that cannot cover its expenses will eventually shut down, which will cause local corners to lose respect for you, and leave your territory!\nLook for a building wiht the <sprite name=""ui pip front needs urgent""> envelope icon, and visit it immediately."
tut.event.vehicle-junk	"Uno de tus vehículos está un tanto machacado. Recuerda que los vehículos dañados son más lentos que los que están en buenas condiciones y, tarde o temprano, dejan de funcionar.\nPásate por un taller para mantener tu flota en buena forma."	"One of your vehicles is getting a little banged up. Damaged vehicles drive slower than vehicles in good condition, and at some point will stop working altogether.\nVisit a local repair shop to keep your vehicle fleet in good shape."
tut.event.crew-injured	"¡Uno de tus subordinados está herido!\nLos miembros lesionados pueden seguir trabajando, pero hasta cierto punto.\nEnvíalos de vuelta a uno de tus edificios lo antes posible para que se <b>recuperen</b> seleccionando el <sprite name=""ui health""> botón de recuperación en su tarjeta de miembro (en la parte superior derecha)."	"One of your people became injured!\nAn injured crew member can still do some work, but only up to a point.\nAs soon as possible, send them back to one of your buildings, and have them <b>recuparate</b> by clicking on the <sprite name=""ui health""> recuperate button on their crew info card (in the upper right)."
info.canadian-whiskey.name	Whisky canadiense	Canadian Whiskey
info.canadian-whiskey.desc	"<b>Un producto regional que no está disponible en todas las ciudades.</b>\n\nEl whisky canadiense es una bebida que anhelan muchos, bien para tomársela sin más o como ingrediente para cócteles.\n\nDurante la ley seca, las destilerías estadounidenses tenían prohibido ejercer su oficio, pero cruzando la frontera hacia el norte (o en el sur, en Detroit) otras continuaron con su empeño, elaborando un producto codiciado a partir del grano canadiense.\n\n<indent=15><b>Precio base\n<sprite name=""ui sell""> 60 $ por caja</b></indent>\n\n<indent=30><i>Para sobrevivir el invierno canadiense, se necesita un cuerpo de latón, ojos de cristal y sangre de brandi.</i></indent>\n<indent=40>—Louis Armand de Lom d'Arce Lahontan</indent>"	"<b>Regional product not available in all cities.</b>\n\nCanadian whiskey is a much-desired quaff - either on its own or as an ingredient in a fine cocktail.\n\nWhile American distilleries were all prevented plying their trade during Prohibition, producers north (or in Detroit, south) of the border kept going, making a coveted product from the fruits of Canadian grain.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $60 per case</b></indent>\n\n<indent=30><i>To survive the Canadian winter, one needs a body of brass, eyes of glass, and blood made of brandy.</i></indent>\n<indent=40>—Louis Armand de Lom d'Arce Lahontan</indent>"
info.fruit-wine.name	Vino de fruta	Fruit Wine
info.fruit-wine.desc	"<b>Un producto regional que no está disponible en todas las ciudades.</b>\n\nExisten muchas <sprite name=""res fruit""> <link=""fruit-other"">frutas</link>, además de las uvas, que pueden fermentarse fácilmente para dar vino, sobre todo si se cuenta con la ayuda del <link=""sugar"">azúcar</link>.\n\nEn los lugares donde abundan los vergeles que no toleran las uvas (como Míchigan), se puede elaborar vino a partir de varias frutas.\n\n<indent=15><b>Precio base\n<sprite name=""ui sell""> 18 $ por caja</b></indent>\n\n<indent=30><i>Si quaeris peninsulam amoenam circumspice.</i></indent>\n<indent=40>—Lema del estado de Míchigan</indent>"	"<b>Regional product not available in all cities.</b>\n\nMany <sprite name=""res fruit""> <link=""fruit-other"">fruits</link> other than grapes can easily ferment into wine - especially when helped along with a bit of <link=""sugar"">sugar</link>.\n\nIn places where orchards abound but that are more inhospitable to grapes (like Michigan), wine can be made from many different kinds of fruits.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $18 per case</b></indent>\n\n<indent=30><i>Si quaeris peninsulam amoenam circumspice.</i></indent>\n<indent=40>—Motto of the State of Michigan</indent>"
info.gasoline.name	Gasolina	Gasoline
info.gasoline.desc	"Un combustible de lo más útil. Se utiliza para poner en marcha las máquinas, aunque también sirve como disolvente.\n\n<indent=15><b>Precio base\n<sprite name=""ui buy""> 8 $ por barril</b></indent>\n\n<indent=30><i>La Cazeline patentada es segura, económica y brillante... cumple con todo lo que se ha anhelado durante tanto tiempo para ofrecer luz artificial potente.</i></indent>\n<indent=40>—John Cassell</indent>"	"A useful fuel. It can be used to fuel machines or applied in some cases as a solvent.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $8 per barrel</b></indent>\n\n<indent=30><i>The Patent Cazeline Oil, safe, economical, and brilliant … possesses all the requisites which have so long been desired as a means of powerful artificial light.</i></indent>\n<indent=40>—John Cassell</indent>"
info.upgraded-bootlegging.icon	"<sprite name=""skill upgraded-bootlegging"">"	"<sprite name=""skill upgraded-bootlegging"">"
info.upgraded-bootlegging.name	Contrabando expandido	Expanded Bootlegging
info.upgraded-bootlegging.desc	"Adquirir esta habilidad te permite mejorar una <link=""backroom-bootlegger"">operación de contrabando de trastienda</link> para vender más de un tipo de <link=""homemade-booze"">alcohol casero</link>. Al mejorarla, también venderá más cantidad del producto que ofrecía inicialmente.\n\n<indent=30><i>I saw you last evening standin' up against a tree; I heard you say you were sick but you looked sloppy drunk to me.</i></indent>\n<indent=40>—Lucille Bogan en ""Sloppy Drunk Blues""</indent>"	"Acquiring this skill allows you to upgrade a <link=""backroom-bootlegger"">backroom bootlegging operation</link> to sell more than one type of <link=""homemade-booze"">homemade booze</link>. Once upgraded, it will also sell more of the type of homemade booze that it was initially built to sell.\n\n<indent=30><i>I saw you last evening standin' up against a tree; I heard you say you were sick but you looked sloppy drunk to me.</i></indent>\n<indent=40>—Lucille Bogan from ""Sloppy Drunk Blues""</indent>"
info.superior-stills.icon	"<sprite name=""skill moonshine-upgrade"">"	"<sprite name=""skill moonshine-upgrade"">"
info.superior-stills.name	Alambiques superiores	Superior Stills
info.superior-stills.desc	"<b>Una habilidad regional que solo está disponible en algunas ciudades.</b>\n\nAl aprender esta habilidad, podrás <b>mejorar</b> tu Alambique de licor casero de trastienda existente y convertirlo en un Alambique de licor casero expandido. Al hacerlo, la <sprite name=""res moonshine""> <link=""moonshine"">producción de licor casero</link> aumenta un 50 %.\n\n<indent=30><i>Cuando vendo licor, se llama piratería, y cuando mis clientes se sirven en Lake Shore Drive, se llama hospitalidad.</i>\n</indent><indent=40>—Al Capone</indent>"	"<b>Regional skill only available in some cities.</b>\n\nLearning this skill allows you to <b>upgrade</b> your existing Backroom Moonshine Still into an Expanded Moonshine Still. Once upgraded, <sprite name=""res moonshine""> <link=""moonshine"">moonshine production</link> will increase by 50%.\n\n<indent=30><i>When I sell liquor, they call it bootlegging. When my patrons serve it on silver trays on Lake Shore Drive, they call it hospitality.</i>\n</indent><indent=40>—Al Capone</indent>"
info.fruitful-operations.icon	"<sprite name=""skill fruit-wine"">"	"<sprite name=""skill fruit-wine"">"
info.fruitful-operations.name	Operaciones fructíferas	Fruitful Operations
info.fruitful-operations.desc	"<b>Una habilidad regional que solo está disponible en algunas ciudades.</b>\n\nCuando tu organización aprenda esta habilidad, podrás montar una Operación de vino de fruta de trastienda en un edificio que controles. Al hacerlo, podrás elaborar <sprite name=""res fruit-wine""> <link=""fruit-wine"">vino de fruta</link> en <sprite name=""res small-bottles""> <link=""small-bottles"">botellas pequeñas</link> combinando <sprite name=""res fruit""> <link=""fruit-other"">fruta</link> con <sprite name=""res sugar""> <link=""sugar"">azúcar</link> y dejando que fermente.\n\n<indent=30><i>Hay que preguntarle a los niños y a los pájaros a qué saben las cerezas y las fresas.</i></indent>\n<indent=40>—Johann Wolfgang von Goethe</indent>"	"<b>Regional skill only available in some cities.</b>\n\nThis skill, once learned by your crew, will allow you to build a backroom fruit wine operation in a building controlled by your outfit. Once that's built, you'll be able to make <sprite name=""res fruit-wine""> <link=""fruit-wine"">fruit wine</link> in <sprite name=""res small-bottles""> <link=""small-bottles"">small bottles</link> by combining <sprite name=""res fruit""> <link=""fruit-other"">fruit</link> and <sprite name=""res sugar""> <link=""sugar"">sugar</link> and then leaving it to ferment.\n\n<indent=30><i>One must ask children and birds how cherries and strawberries taste.</i></indent>\n<indent=40>—Johann Wolfgang von Goethe</indent>"
info.champagne-making.icon	"<sprite name=""skill champagne"">"	"<sprite name=""skill champagne"">"
info.champagne-making.name	Campaña de champán	Champagne Methods
info.champagne-making.desc	"Esta habilidad te permite montar una Producción de champán en un edificio que controle tu organización. Aprende a darle clase y burbujas a tus productos. En la Producción de champán, utiliza unidades existentes de <sprite name=""res fake-wine""> <link=""fake-wine"">vino falseado</link>, <sprite name=""res ice""> <link=""ice"">hielo</link> y <sprite name=""res sugar""> <link=""sugar"">azúcar</link> para crear algo que, al ponerle una <sprite name=""res labels""> <link=""labels"">etiqueta falsa</link>, puede venderse como <sprite name=""res champagne""> <link=""champagne"">champán</link>.\n\n<indent=30><i>Champagne is one of the elegant extras in life.</i></indent>\n<indent=40>—Charles Dickens</indent>"	"This skill allow to build a Champagne Manufacture in a building controlled by your outfit. Learn how to add some flair - and bubbles - to your booze production. At the Champagne Manufacture, you'll take existing stocks of <sprite name=""res fake-wine""> <link=""fake-wine"">counterfeit wine</link> and use <sprite name=""res ice""> <link=""ice"">ice</link> and <sprite name=""res sugar""> <link=""sugar"">sugar</link> to create something that, with the addition of a <sprite name=""res labels""> <link=""labels"">counterfeit label</link> can be passed off as <sprite name=""res champagne""> <link=""champagne"">champagne</link>.\n\n<indent=30><i>Champagne is one of the elegant extras in life.</i></indent>\n<indent=40>—Charles Dickens</indent>"
info.dark-rum-making.icon	"<sprite name=""skill dark-rum"">"	"<sprite name=""skill dark-rum"">"
info.dark-rum-making.name	Producción de ron especiado	Spiced Rum Manufacture
info.dark-rum-making.desc	"Aprende esta habilidad para desbloquear la técnica de elaboración de ron especiado montando una Producción de ron especiado en un edificio que controle tu organización.\n\nEl ron de siempre está bien, pero el ron especiado con estilo y clase, es mejor. Con una operación activa, puedes crear <sprite name=""res dark rum""> <link=""dark-rum"">ron especiado</link> a partir de <sprite name=""res barrel-rum""> <link=""rum-barrel"">barriles de ron</link>. Vierte el contenido en <sprite name=""res oak-barrels""> <link=""oak-barrels"">barricas de roble</link>, añade algunas <sprite name=""res spices""> <link=""spices"">especias</link> y déjalo reposar antes de envasarlo todo en <sprite name=""res bottles""> <link=""bottles"">botellas</link> con <sprite name=""res labels""> <link=""labels"">etiquetas</link> para darle credibilidad.\n\n<indent=30><i>There’s naught, no doubt, so much the spirit calms as rum and true religion.</i></indent>\n<indent=40>—Lord Byron</indent>"	"Learn this skill to unlock the ability to make spiced rum by building a Spiced Rum Manufacture in a building controlled by your outfit.\n\nRegular rum is fine. Spiced rum, however, that has panache and character. With an operation up and running, you can create <sprite name=""res dark rum""> <link=""dark-rum"">spiced rum</link> from <sprite name=""res barrel-rum""> <link=""rum-barrel"">barrels of rum</link>. You dump them into <sprite name=""res oak-barrels""> <link=""oak-barrels"">oak barrels</link>, add some <sprite name=""res spices""> <link=""spices"">spices</link> and then leave it for a while before putting in to <sprite name=""res bottles""> <link=""bottles"">bottles</link> with a <sprite name=""res labels""> <link=""labels"">label</link> for good measure.\n\n<indent=30><i>There’s naught, no doubt, so much the spirit calms as rum and true religion.</i></indent>\n<indent=40>—Lord Byron</indent>"
info.beer-kegs-skill.icon	"<sprite name=""skill beer-kegs"">"	"<sprite name=""skill beer-kegs"">"
info.beer-kegs-skill.name	Cerveza en barril	Beer by the Keg
info.beer-kegs-skill.desc	"Al adquirir esta habilidad, tu organización podrá montar una Cervecería grande en la que producir cerveza en barriles.\n\nLa cerveza en botellas ocupa muchísimo espacio y es un despropósito, pero si la metes en barriles de acero, la historia cambia. Lo mejor de todo es que es sencillo. Necesitas suministros de <sprite name=""res fake-beer""> <link=""fake-beer"">cerveza de trastienda</link>, un poco de <sprite name=""res ice""> <link=""ice"">hielo</link> y <sprite name=""res steel-barrels""> <link=""steel-barrels"">barriles de acero</link>. ¡Combínalo todo, deja que enfríe y listo para partir!\n\n<i><indent=30><i>Las preferencias arraigadas no se pueden discutir; no puedes convencer a alguien de que le gusta la cerveza.</i></indent>\n<indent=40>—Oliver Wendell Holmes</indent>"	"Gaining this skill allows your outfit to build a Large Brewery where you can ship out beer by the keg.\n\nBottled beer is cumbersome and doesn't scale well. But put it in steel barrels, now we're talking. And it's fairly straightforward. You'll need a supply of <sprite name=""res fake-beer""> <link=""fake-beer"">backroom beer</link>, some <sprite name=""res ice""> <link=""ice"">ice</link> and <sprite name=""res steel-barrels""> <link=""steel-barrels"">steel barrels</link>. Just combine, chill and ship!\n\n<i><indent=30><i>Deep-seated preferences cannot be argued about — you cannot argue a man into liking a glass of beer.</i></indent>\n<indent=40>—Oliver Wendell Holmes</indent>"
info.aged-whiskey-skill.icon	"<sprite name=""skill aged-whiskey"">"	"<sprite name=""skill aged-whiskey"">"
info.aged-whiskey-skill.name	Años de whisky	Years of Whiskey
info.aged-whiskey-skill.desc	"Esta habilidad te permite montar una Producción de whisky añejo en un edificio que controle tu organización.\n\nEl whisky normal te emborracha, pero el añejo lo logra con un toque a roble bien suave. Es fácil elaborarlo en una operación. Solo necesitas coger un par de <sprite name=""res whiskey-barrel""> <link=""whiskey-barrel"">barriles de whisky</link>, verterlos en <sprite name=""res oak-barrels""> <link=""oak-barrels"">barricas de roble</link> y dejar que la química se encargue del resto.\n\n<indent=30><i>Todo en demasía es malo, pero whisky del bueno apenas hay suficiente.</i></indent>\n<indent=40>—Mark Twain</indent>"	"This skill allows you to build an Aged Whiskey Manufacture in a building controlled by your outfit.\n\nFresh whiskey gets you drunk. But aged whiskey achieves that goal with a smooth, oak-laden finish. In your operation, this is fairly simple. Just take a few <sprite name=""res whiskey-barrel""> <link=""whiskey-barrel"">whiskey barrels</link>, dump them into <sprite name=""res oak-barrels""> <link=""oak-barrels"">oak barrels</link> and let time do its thing.\n\n<indent=30><i>Too much of anything is bad, but too much good whiskey is barely enough.</i></indent>\n<indent=40>—Mark Twain</indent>"
info.gin-making.icon	"<sprite name=""skill gin"">"	"<sprite name=""skill gin"">"
info.gin-making.name	Ginebra auténtica	Proper Gin
info.gin-making.desc	"Aprende las técnicas de elaboración de ginebra real para montar una Producción de ginebra en un edificio que controle tu organización.\n\nEmpieza a producir un tipo de ginebra tradicional, como la que se hacía antes de la ley seca. Tendrás que añejar un tipo de alcohol básico en <sprite name=""res oak-barrels""> <link=""oak-barrels"">barricas de roble</link> con <sprite name=""res citrus""> <link=""citrus"">fruta cítrica</link> y <sprite name=""res spices""> <link=""spices"">especias</link> antes del embotellamiento.\n\n<indent=30><i>El arte por amor al arte tiene tanto sentido como la ginebra por amor a la ginebra.</i></indent>\n<indent=40>—W. Somerset Maugham</indent>"	"Learn about proper gin making to construct a Gin Manufacture in a building controlled by your outfit.\n\nBring an old, pre-Prohibition recipe for gin into production. You'll need a to age a source type of alcohol in <sprite name=""res oak-barrels""> <link=""oak-barrels"">oak barrels</link> with <sprite name=""res citrus""> <link=""citrus"">citrus fruit</link> and <sprite name=""res spices""> <link=""spices"">spices</link> before bottling.\n\n<indent=30><i>Art for art's sake makes no more sense than gin for gin's sake.</i></indent>\n<indent=40>—W. Somerset Maugham</indent>"
info.cordial-making.icon	"<sprite name=""skill cordials"">"	"<sprite name=""skill cordials"">"
info.cordial-making.name	Un saludo cordial	Cordially Yours
info.cordial-making.desc	"Al comprender esta habilidad, podrás crear licores cordiales a partir de diferentes recursos en una Producción de licor cordial en un edificio que controle tu organización.\n\nLos cordiales y demás licores son el ingrediente clave en muchos de los cócteles más sofisticados. Existen muchas recetas disponibles que usan <sprite name=""res alcohol-btl""> <link=""neutral-alcohol"">alcohol neutro</link> o <sprite name=""res vodka-barrel""> <link=""vodka-barrel"">barriles de vodka</link> como base. Puedes añadir otros ingredientes y darles un poco de vidilla para que se conviertan en la estrella en los bares clandestinos o clubes de lujo.\n\n<i><indent=30><i>Los martinis son la única invención estadounidense al nivel de los sonetos.</i></indent>\n<indent=40>—H.L. Mencken</indent>"	"Figuring out this skill means that you can create cordials from various resources in a Cordial Manufacture in a building controlled by your outfit.\n\nCordials and other liqueurs are key ingredients to many fancy cocktails. There are several recipes available for cordial making using <sprite name=""res alcohol-btl""> <link=""neutral-alcohol"">neutral alcohol</link> or <sprite name=""res vodka-barrel""> <link=""vodka-barrel"">barrels of vodka</link> as a base. Then you can other ingredients to liven them up and get them ready for their starring role in a speakeasy bar or high-end club.\n\n<i><indent=30><i>Martinis are the only American invention as perfect as a sonnet.</i></indent>\n<indent=40>—H.L. Mencken</indent>"
info.truck-driving.icon	"<sprite name=""skill truck-driving"">"	"<sprite name=""skill truck-driving"">"
info.truck-driving.name	Conducción de camiones	Truck Driving
info.truck-driving.desc	"Si aprendes a conducir camiones de reparto, podrás aumentar la cantidad de camiones que manejas. De esta forma, también reducirás el desgaste de todos tus vehículos.\n\nA su vez, podrás montar un Taller de reparación de camiones pequeño.\n\n<i><indent=30>Hog Butcher for the World, Tool Maker, Stacker of Wheat, Player with Railroads and the Nation's Freight Handler;Stormy, husky, brawling, City of the Big Shoulders.</i></indent>\n<indent=40>—Carl Sandburg</indent>"	"Learning about delivery driving will increase the number of trucks you can operate and will decrease wear and tear on all your vehicles.\n\nYou will also be able to build a Small Truck Repair Bay.\n\n<i><indent=30>Hog Butcher for the World, Tool Maker, Stacker of Wheat, Player with Railroads and the Nation's Freight Handler;Stormy, husky, brawling, City of the Big Shoulders.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.small-garages.icon	"<sprite name=""skill garages"">"	"<sprite name=""skill garages"">"
info.small-garages.name	Construcción de talleres	Garage Construction
info.small-garages.desc	"Aprender esta habilidad te permite montar un garaje pequeño en uno de los edificios que controles.\n\nCon está habilidad puedes montar un garaje pequeño en un edificio que controle tu organización.\n\n<i><indent=30><i>Lay me on an anvil, O God. Beat me and hammer me into a crowbar. Let me pry loose old walls. Let me lift and loosen old foundations.</i></indent>\n<indent=40>—Carl Sandburg</indent>"	"Learning this skill allows you to build a small garage in one of your controlled buildings.\n\nAcquiring this skill allows you to build a small garage in a building controlled by your outfit.\n\n<i><indent=30><i>Lay me on an anvil, O God. Beat me and hammer me into a crowbar. Let me pry loose old walls. Let me lift and loosen old foundations.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.truck-garage.icon	"<sprite name=""skill truck-bays"">"	"<sprite name=""skill truck-bays"">"
info.truck-garage.name	Talleres de reparación de camiones	Truck Repair Bays
info.truck-garage.desc	"Aprender esta habilidad te permite montar un taller de reparación de camiones en uno de los edificios que controles para aumentar la cantidad de camiones que puede tener tu organización.\n\n<i><indent=30>Soy un idealista. No sé a dónde me dirijo, pero voy en camino.</i></indent>\n<indent=40>—Carl Sandburg</indent>"	"Learning this skill allows you to build a truck repair bay in one of your controlled buildings to increase the number of trucks your outfit is able to support.\n\n<i><indent=30>I'm an idealist. I don't know where I'm going, but I'm on my way.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.homebooze-moonshine-still.name	Alambique de licor casero de trastienda	Backroom Moonshine Still
