KEY	Korean	English
__id	ko	en

		;; encyclopedia

pedia.dialog.title	금주법 백과사전	Prohibition Encyclopedia
pedia.dialog.default-text	자세한 내용을 보려면 왼쪽의 주제 중 하나를 선택하세요. 특정 주제에 대해 더 자세히 알아보려면 링크를 따르세요.	Select one of the topics on the left to learn more. Follow links to dig further into a topic.
pedia.dialog.entry	<b><size=120%>{name}</size></b>\n\n{desc}	<b><size=120%>{name}</size></b>\n\n{desc}

pedia.cat.resources	자원	Resources
pedia.cat.businesses	비즈니스 종류	Business Types
pedia.cat.skills	스킬	Skills
pedia.cat.gameplay	게임플레이	Gameplay
pedia.cat.gambling	도박	Gambling
pedia.cat.others	Other

info.bootleg-rum.icon	<sprite name="skill rum-bottled">
info.bootleg-rum.name	불법 럼
info.bootleg-rum.desc	<span>럼처럼 보이는 것을 만드는 방법을 배웁니다. 완벽하지 않다는 걸 알겠지만, 고객도 이를 알게 될 것입니다. 그러나 지금은 절박한 시기입니다.</span>\n\n이 기술을 배우면 <b>임시 럼 증류기</b>를 설치할 수 있습니다.\n\n<indent=30><i>결국, 거짓말이란 무엇일까요? 그것은 변장한 진실일 뿐입니다.</i></indent>\n<indent=40>—Lord Byron</indent>

info.whiskey-still.icon	<sprite name="skill whiskey-still">
info.whiskey-still.name	소형 위스키 증류기
info.whiskey-still.desc	위스키 배럴을 제조할 수 있는 제대로 된 위스키 증류기를 만드는 방법을 배웁니다.\n\n이 기술을 배우면 <b>소형 위스키 증류기</b>를 설치할 수 있습니다.\n\n<indent=30><i>위스키가 잔에 떨어지는 가벼운 음악이 즐거운 전환을 만든다.</i></indent>\n<indent=40>—James Joyce</indent>

info.brandy-still.icon	<sprite name="skill brandy-still">
info.brandy-still.name	소형 브랜디 증류기
info.brandy-still.desc	브랜디 배럴을 제조할 수 있는 제대로 된 브랜디 증류기를 만드는 방법을 배웁니다.\n\n이 기술을 배우면 <b>소형 브랜디 증류기</b>를 설치할 수 있습니다.\n\n<indent=30><i>브랜디를 한 모금 더 마시며 그는 크게 고개를 흔들었다. 마치 최악의 상황을 예상하는 사람처럼.</i></indent>\n<indent=40>—Robert Louis Stevenson</indent>

info.rum-still.icon	<sprite name="skill rum-still">
info.rum-still.name	소형 럼 증류기
info.rum-still.desc	럼 배럴을 제조할 수 있는 제대로 된 럼 증류기를 만드는 방법을 배웁니다.\n\n이 기술을 배우면 <b>소형 럼 증류기</b>를 설치할 수 있습니다.\n\n<indent=30><i>모든 길은 럼으로 향한다.</i></indent>\n<indent=40>—W.C. Fields</indent>

info.vodka-still.icon	<sprite name="skill vodka-still">
info.vodka-still.name	소형 보드카 증류기
info.vodka-still.desc	적절한 보드카 증류기를 만드는 방법을 배웁니다. 이 기술을 배우면 <b>소형 보드카 증류기</b>를 당신의 건물에 설치할 수 있게 됩니다.\n\n<indent=30><i>담배 한 대나 보드카 한 잔을 마시면... 당신의 자아가 둘로 나누어집니다. 당신은 자신을 3인칭으로 생각하기 시작합니다.</i></indent>\n<indent=40>—Anton Chekhov</indent>

info.booze-bottling.icon	<sprite name="skill booze-bottling">
info.booze-bottling.name	술 병입기
info.booze-bottling.desc	술을 <sprite name="res bottles"> <link="bottles">병</link>에 담는 방법을 배웁니다. 이 기술을 배우면 <b>작은 병입기 작업</b>을 건물에 설치할 수 있게 됩니다.\n\n<indent=30><i>밤에는 고층 빌딩이 연기와 별 속에서 우뚝 솟고, 그 속에 영혼이 깃듭니다.</i></indent>\n<indent=40>—Carl Sandburg</indent>

info.backroom-bootlegging.icon	<sprite name="skill backroom-bootlegging">
info.backroom-bootlegging.name	밀실 부두렝
info.backroom-bootlegging.desc	이 기술은 중개인을 없애고, 소량의 집에서 만든 술을 직접 배급하는 방법을 가르쳐줍니다.\n\n이 기술을 배우면 <b><link="backroom-bootlegger">밀실 부두렝 작업</link></b>을 건물에 설치할 수 있습니다.\n\n<indent=30><i>60일은 당신이 원하는 대로 보낼 수 있다면 짧은 시간 같지만, 술이 없다면 감옥처럼 느껴집니다. 술을 마실 수 없을 때 내 삶은 괴롭습니다.</i></indent>\n<indent=40>—Ma Rainey</indent>

info.local-speakeasies.icon	<sprite name="skill speakeasy">
info.local-speakeasies.name	코너 술집
info.local-speakeasies.desc	부두렝 작업을 업그레이드하여 모든 종류의 집에서 만든 술을 판매할 수 있는 풀 스펙 술집을 만듭니다. 심지어 다른 것들도 판매할 수 있습니다.\n\n이 기술을 배우면 <b><link="corner-speakeasy">코너 술집</link></b>을 설치하거나 기존의 확장된 부두렝 작업을 업그레이드 할 수 있습니다.\n\n<indent=30><i>술집이 사라졌고, 대신 거대한 범죄자들이 나타났습니다. 많은 선량한 시민들이 금주법을 무시하며 공개적으로 술을 마십니다.</i></indent>\n<indent=40>—John D. Rockefeller</indent>

info.small-speakeasy-skill.icon	<sprite name="skill speakeasy">
info.small-speakeasy-skill.name	말하기 쉬운 술집
info.small-speakeasy-skill.desc	술집을 확장하여 다양한 종류의 술을 판매할 수 있게 됩니다.\n\n이 기술을 배우고 작은 술집을 건설하거나 코너 술집을 확장하면 위스키, 브랜디, 럼, 보드카와 같은 다양한 술을 현지 고객에게 직접 판매할 수 있습니다.\n\n<indent=30><i>술집이 사라졌고, 대신 거대한 범죄자들이 나타났습니다. 많은 선량한 시민들이 금주법을 무시하며 공개적으로 술을 마십니다.</i></indent>\n<indent=40>—John D. Rockefeller</indent>

info.supper-clubs.icon	<sprite name="skill supper-club">
info.supper-clubs.name	석식 클럽
info.supper-clubs.desc	18번째 수정안이 통과된 후 석식 클럽들이 급속히 생겨났습니다. 이 개인 클럽들은 사람들에게 당국의 눈을 피해 모여서 먹고(그리고 술을 마시기 위해) 인기를 끌었습니다.\n\n이 기술을 배우면, 당신의 건물에 <i>석식 클럽</i>을 건설할 수 있게 됩니다.\n\n<indent=30><i>당신의 집이 외로워 보이나요, 아기가 떠날 때? 당신은 몰래 만든 술을 마실 수 있지만, 아기, 당신의 마음은 자유롭지 않습니다.</i></indent>\n<indent=40>—Blind Lemon Jefferson</indent>

info.large-clubs.icon	<sprite name="skill expanded-venues">
info.large-clubs.name	확장된 공연장
info.large-clubs.desc	최고의 명성을 얻으려면 최고의 엔터테인먼트 장소를 열어야 합니다. 댄스홀? 재즈 클럽? 고급 식당? 무엇을 선택하든, 그것은 도시의 중심지가 될 것입니다.\n\n<indent=30><i>블루스 음악가는 은퇴하지 않습니다. 그들은 떨어집니다.</i></indent>\n<indent=40>—Buddy Guy</indent>

info.upgraded-bootlegging.icon	<sprite name="skill upgraded-bootlegging">
info.upgraded-bootlegging.name	확장된 부두렝
info.upgraded-bootlegging.desc	이 기술을 배우면 <link="backroom-bootlegger">밀실 부두렝 작업</link>을 업그레이드하여 한 가지 종류의 집에서 만든 술 이상을 판매할 수 있게 됩니다. 업그레이드가 완료되면 초기 설정된 술의 판매량도 증가합니다.\n\n<indent=30><i>저는 당신이 지난 저녁에 나무에 기대 서 있는 모습을 보았습니다. 당신이 아프다고 말하는 걸 들었지만, 당신은 나에게는 술에 취한 상태로 보였습니다.</i></indent>\n<indent=40>—Lucille Bogan from "Sloppy Drunk Blues"</indent>

info.superior-stills.icon	<sprite name="skill moonshine-upgrade">
info.superior-stills.name	고급 증류기
info.superior-stills.desc	<b>지역 기술로 일부 도시에서만 사용 가능합니다.</b>\n\n이 기술을 배우면 기존의 밀실 문샤인 증류기를 확장된 문샤인 증류기로 업그레이드할 수 있습니다. 업그레이드가 완료되면 <sprite name="res moonshine"> <link="moonshine">문샤인 생산</link>이 50% 증가합니다.\n\n<indent=30><i>내가 술을 팔면, 그들은 그것을 부두렝이라고 부릅니다. 그러나 내 고객이 그것을 호수 옆에 있는 은접시에서 서빙하면, 그들은 그것을 환대라고 부릅니다.</i></indent>\n<indent=40>—Al Capone</indent>

info.fruitful-operations.icon	<sprite name="skill fruit-wine">
info.fruitful-operations.name	풍성한 작업
info.fruitful-operations.desc	<b>지역 기술로 일부 도시에서만 사용 가능합니다.</b>\n\n이 기술을 배우면, 당신의 팀은 건물에 <link="backroom-fruit-wine">과일 와인 작업</link>을 건설할 수 있습니다. 이를 통해 <sprite name="res fruit-wine"> <link="fruit-wine">과일 와인</link>을 <sprite name="res small-bottles"> <link="small-bottles">작은 병</link>에 담아 만들 수 있습니다. 이는 <sprite name="res fruit"> <link="fruit-other">과일</link>과 <sprite name="res sugar"> <link="sugar">설탕</link>을 결합하여 발효시키는 방법입니다.\n\n<indent=30><i>어린이들과 새들에게 체리와 딸기의 맛을 물어야 한다.</i></indent>\n<indent=40>—Johann Wolfgang von Goethe</indent>

info.champagne-making.icon	<sprite name="skill champagne">
info.champagne-making.name	샴페인 제조 방법
info.champagne-making.desc	이 기술은 <link="champagne-manufacture">샴페인 제조소</link>를 건설할 수 있게 해줍니다. 이를 통해 기존의 <sprite name="res fake-wine"> <link="fake-wine">양조 와인</link>에 <sprite name="res ice"> <link="ice">얼음</link>과 <sprite name="res sugar"> <link="sugar">설탕</link>을 추가하여 <sprite name="res champagne"> <link="champagne">샴페인</link>처럼 보이는 음료를 만들 수 있습니다.\n\n<indent=30><i>샴페인은 인생의 우아한 부가물입니다.</i></indent>\n<indent=40>—Charles Dickens</indent>

info.dark-rum-making.icon	<sprite name="skill dark-rum">
info.dark-rum-making.name	향신료 럼 제조
info.dark-rum-making.desc	이 기술을 배우면, 향신료가 첨가된 럼을 만들 수 있는 <link="spiced-rum-manufacture">향신료 럼 제조소</link>를 건설할 수 있습니다.\n\n일반 럼도 괜찮지만, 향신료 럼은 멋과 개성이 있습니다. 이 작업을 통해 <sprite name="res dark rum"> <link="dark-rum">향신료 럼</link>을 만들 수 있습니다. <sprite name="res rum-barrel"> <link="rum-barrel">럼 통</link>에 넣고 <sprite name="res oak-barrels"> <link="oak-barrels">오크 통</link>에 담아두고, <sprite name="res spices"> <link="spices">향신료</link>를 더한 뒤 일정 기간 숙성시킨 후 병에 담습니다.\n\n<indent=30><i>럼과 진정한 종교만큼 영혼을 진정시키는 것은 없다.</i></indent>\n<indent=40>—Lord Byron</indent>

info.beer-kegs-skill.icon	<sprite name="skill beer-kegs">
info.beer-kegs-skill.name	통으로 판매되는 맥주
info.beer-kegs-skill.desc	이 기술을 배우면, 대형 양조장을 건설하여 통 단위로 맥주를 보낼 수 있습니다.\n\n병에 담긴 맥주는 부피가 크고 잘 확장되지 않지만, 철강 배럴에 담으면 이야기가 달라집니다. 필요한 재료는 <sprite name="res fake-beer"> <link="fake-beer">밀실 맥주</link>, <sprite name="res ice"> <link="ice">얼음</link>, <sprite name="res steel-barrels"> <link="steel-barrels">강철 배럴</link>입니다. 이들을 결합해 식히고 발송하면 됩니다!\n\n<indent=30><i>깊은 선호는 논쟁할 수 없습니다 — 당신이 맥주 한 잔을 좋아하지 않는 사람을 설득할 수는 없습니다.</i></indent>\n<indent=40>—Oliver Wendell Holmes</indent>

info.aged-whiskey-skill.icon	<sprite name="skill aged-whiskey">
info.aged-whiskey-skill.name	오래된 위스키
info.aged-whiskey-skill.desc	이 기술을 배우면, <link="aged-whiskey-manufacture">숙성된 위스키 제조소</link>를 건설할 수 있습니다.\n\n신선한 위스키도 좋지만, 숙성된 위스키는 부드럽고 오크 향이 더해져 그 목표를 달성합니다. 이 작업은 간단합니다. <sprite name="res whiskey-barrel"> <link="whiskey-barrel">위스키 통</link>을 넣고 <sprite name="res oak-barrels"> <link="oak-barrels">오크 통</link>에 담아두고 시간이 흐를 때까지 기다립니다.\n\n<indent=30><i>무엇이든 너무 많은 것은 나쁘지만, 너무 좋은 위스키는 거의 충분하지 않다.</i></indent>\n<indent=40>—Mark Twain</indent>

info.gin-making.icon	<sprite name="skill gin">
info.gin-making.name	올바른 진
info.gin-making.desc	올바른 진을 만드는 방법을 배우고, <link="gin-manufacture">진 제조소</link>를 건설할 수 있습니다.\n\n프리금주법 전의 진 제조 레시피를 적용하여 진을 생산할 수 있습니다. <sprite name="res oak-barrels"> <link="oak-barrels">오크 통</link>에 술을 담고 <sprite name="res citrus"> <link="citrus">감귤</link>과 <sprite name="res spices"> <link="spices">향신료</link>를 더하여 숙성시킨 후 병에 담습니다.\n\n<indent=30><i>예술을 위한 예술은 진을 위한 진과 마찬가지로 의미가 없다.</i></indent>\n<indent=40>—W. Somerset Maugham</indent>

info.cordial-making.icon	<sprite name="skill cordials">
info.cordial-making.name	우아한 주류
info.cordial-making.desc	이 기술을 배우면 <link="cordial-manufacture">코디얼 제조소</link>를 건설하고 다양한 재료를 사용하여 코디얼을 만들 수 있습니다.\n\n코디얼과 다른 리큐르는 여러 고급 칵테일의 핵심 재료입니다. 이 기술을 배우면 <sprite name="res alcohol-btl"> <link="neutral-alcohol">중성 알콜</link>이나 <sprite name="res vodka-barrel"> <link="vodka-barrel">보드카 통</link>을 기본으로 하여 코디얼을 만들 수 있습니다. 다양한 재료를 더하여 최고의 칵테일에 적합한 코디얼을 만들 수 있습니다.\n\n<indent=30><i>마티니는 미국의 유일한 발명품으로, 소네트만큼 완벽하다.</i></indent>\n<indent=40>—H.L. Mencken</indent>

info.amaretto-skill.icon	<sprite name="skill amaretto">
info.amaretto-skill.name	아마레토 증류
info.amaretto-skill.desc	견과류를 사용하여 아마레토를 만드는 방법을 배우면, 고급 칵테일에 필요한 아마레토를 만들 수 있습니다. 아마레토를 만들기 위해서는 <sprite name="res nuts"> <link="nuts">견과류</link>, <sprite name="res sugar"> <link="sugar">설탕</link>과 약간의 공간이 필요합니다.

info.absinthe-skill.icon	<sprite name="skill absinthe">
info.absinthe-skill.name	압생트 작업
info.absinthe-skill.desc	압생트를 만드는 레시피는 오랜 시간 동안 비밀로 간직되어 왔습니다. 하지만 이 지식을 가진 사람을 설득하여 압생트를 만들 수 있는 기술을 배우면, <sprite name="res herbs"> <link="herbs">허브</link>, <sprite name="res herbs"> <link="wheat">밀</link>과 약간의 공간을 사용하여 압생트를 만들 수 있습니다.

info.truck-driving.icon	<sprite name="skill truck-driving">
info.truck-driving.name	트럭 운전
info.truck-driving.desc	배송 운전에 대해 배우면, 운용할 수 있는 트럭의 수가 증가하고, 차량의 마모가 줄어듭니다. 또한, <b>소형 트럭 수리소</b>를 건설할 수 있게 됩니다.\n\n<i><indent=30>Hog Butcher for the World, Tool Maker, Stacker of Wheat, Player with Railroads and the Nation's Freight Handler;Stormy, husky, brawling, City of the Big Shoulders.</i></indent>\n<indent=40>—Carl Sandburg</indent>

info.small-garages.icon	<sprite name="skill garages">
info.small-garages.name	차고 건설
info.small-garages.desc	이 기술을 배우면, 당신의 팀은 <link="small-garages">소형 차고</link>를 건설할 수 있습니다.\n\n<i><indent=30><i>Lay me on an anvil, O God. Beat me and hammer me into a crowbar. Let me pry loose old walls. Let me lift and loosen old foundations.</i></indent>\n<indent=40>—Carl Sandburg</indent>

info.truck-garage.icon	<sprite name="skill truck-bays">
info.truck-garage.name	트럭 수리소
info.truck-garage.desc	이 기술을 배우면, <link="truck-garage">트럭 수리소</link>를 건설하여 더 많은 트럭을 지원할 수 있게 됩니다.\n\n<i><indent=30>I'm an idealist. I don't know where I'm going, but I'm on my way.</i></indent>\n<indent=40>—Carl Sandburg</indent>

info.truck-garage-improved.icon	<sprite name="skill expanded-truck-bays">
info.truck-garage-improved.name	확장된 수리소
info.truck-garage-improved.desc	이 기술을 배우면, 트럭 수리소를 업그레이드하여 트럭 용량을 증가시키고, 트럭 함대를 확장할 수 있습니다.

info.car-bullies.icon	<sprite name="skill general vehicle">
info.car-bullies.name	협상 보조
info.car-bullies.desc	이 기술을 배우면 모든 차량 구매에 대해 큰 할인을 받을 수 있으며, <i>향상된</i> 협상 기술 덕분입니다.\n\n<i><indent=30>I'm an idealist. I don't know where I'm going, but I'm on my way.</i></indent>\n<indent=40>—Carl Sandburg</indent>

info.dishwashers.icon	<sprite name="skill expansions">
info.dishwashers.name	핫 디쉬워셔
info.dishwashers.desc	이 기술을 배우면, <link="backroom-bootlegger">밀실 밀매점</link>와 <link="corner-speakeasy">코너 스피크이지</link>에 <b>디쉬워셔</b> 확장을 설치하여 음료를 서빙하는 시간을 단축시키고, 하루 매출을 증가시킬 수 있습니다.\n\n<indent=30><i>The speakeasy has replaced the saloon; a vast army of lawbreakers has appeared; many of our best citizens have openly ignored Prohibition.</i></indent>\n<indent=40>—John D. Rockefeller</indent>

info.big-barrels.icon	<sprite name="skill expansions">
info.big-barrels.name	더블 배럴
info.big-barrels.desc	이 기술을 배우면, <link="homemade-booze">자작 주류</link> 작업에 <b>더블 배럴 생산</b> 확장을 추가하여 생산량을 증가시킬 수 있습니다.\n\n<i><indent=30><i>Deep-seated preferences cannot be argued about — you cannot argue a man into liking a glass of beer.</i></indent>\n<indent=40>—Oliver Wendell Holmes</indent>

info.old-glassware.icon	<sprite name="skill expansions">
info.old-glassware.name	크리스탈 바웨어
info.old-glassware.desc	이 기술을 배우면, <link="backroom-bootlegger">밀실 밀매점</link>와 <link="corner-speakeasy">코너 스피크이지</link>에 <b>올드타임 유리잔</b> 확장을 설치하여 더 많은 소비자를 유치하고, 하루 매출을 증가시킬 수 있습니다.\n\n<indent=30><i>The speakeasy has replaced the saloon; a vast army of lawbreakers has appeared; many of our best citizens have openly ignored Prohibition.</i></indent>\n<indent=40>—John D. Rockefeller</indent>

info.pool-table.icon	<sprite name="skill expansions">
info.pool-table.name	당구대
info.pool-table.desc	이 기술을 배우면, <link="backroom-bootlegger">밀실 밀매점</link>와 <link="corner-speakeasy">코너 스피크이지</link>에 <b>당구대</b> 확장을 설치하여 더 많은 소비자를 유치하고, 하루 매출을 증가시킬 수 있습니다.\n\n<indent=30><i>The speakeasy has replaced the saloon; a vast army of lawbreakers has appeared; many of our best citizens have openly ignored Prohibition.</i></indent>\n<indent=40>—John D. Rockefeller</indent>

info.player-piano.icon	<sprite name="skill expansions">
info.player-piano.name	플레이어 피아노
info.player-piano.desc	이 기술을 배우면, <link="backroom-bootlegger">밀매점</link>와 <link="corner-speakeasy">스피크이지</link>에 플레이어 피아노 확장을 설치할 수 있게 되어 더 많은 소비자를 유치하고 하루 매출을 증가시킬 수 있습니다.\n\n<indent=30><i>The speakeasy has replaced the saloon; a vast army of lawbreakers has appeared; many of our best citizens have openly ignored Prohibition.</i></indent>\n<indent=40>—John D. Rockefeller</indent>

info.junkyard-booze.icon	<sprite name="skill expansions">
info.junkyard-booze.name	정크야드 주류
info.junkyard-booze.desc	이 기술을 배우면, <link="homemade-booze">자작 주류</link> 작업에 정크야드 개선 확장을 추가하여 생산량을 증가시킬 수 있습니다.\n\n<i><indent=30><i>Deep-seated preferences cannot be argued about — you cannot argue a man into liking a glass of beer.</i></indent>\n<indent=40>—Oliver Wendell Holmes</indent>

info.bottle-return-racks.icon	<sprite name="skill old-knowledge">
info.bottle-return-racks.name	병 반환 랙
info.bottle-return-racks.desc	이 기술을 배우면, 모든 아웃포스트에 병 반환 랙을 설치하여 <link="small-bottles">병</link>을 수집하고 자작 주류 작업에 활용할 수 있습니다.\n\n<i><indent=30>I'm an idealist. I don't know where I'm going, but I'm on my way.</i></indent>\n<indent=40>—Carl Sandburg</indent>

info.ethnic-solidarity.icon	<sprite name="skill ethnic">
info.ethnic-solidarity.name	민족 연대
info.ethnic-solidarity.desc	이 기술을 배우면, <link="homemade-booze">자작 주류</link> 작업에 민족 연대 확장을 추가하여 각 생산 사이클에 필요한 자재를 줄일 수 있습니다.

info.ethnic-bump-cider.icon	<sprite name="skill ethnic">
info.ethnic-bump-cider.name	구세계 지식: 사이다
info.ethnic-bump-cider.desc	이 기술을 배우면, <link="cider">사이다</link> 작업에 영국 사이다 프레스 확장을 추가하여 생산량을 급격히 증가시킬 수 있습니다.\n\n<i><indent=30>Give me yesterday's bread, this day's flesh, and last year's cider.</i></indent>\n<indent=40>—Benjamin Franklin</indent>

info.ethnic-bump-wine.icon	<sprite name="skill ethnic">
info.ethnic-bump-wine.name	구세계 지식: 와인
info.ethnic-bump-wine.desc	이 기술을 배우면, <link="brick-wine">와인</link> 작업에 이탈리아 와인 프레스 확장을 추가하여 생산량을 급격히 증가시킬 수 있습니다.\n\n<i><indent=30>Wine is the most healthful and most hygienic of beverages.</i></indent>\n<indent=40>—Louis Pasteur</indent>

info.ethnic-bump-beer.icon	<sprite name="skill ethnic">
info.ethnic-bump-beer.name	구세계 지식: 맥주
info.ethnic-bump-beer.desc	이 기술을 배우면, <link="home-brew">맥주</link> 작업에 독일 맥주 조리기 확장을 추가하여 생산량을 급격히 증가시킬 수 있습니다.\n\n<i><indent=30>Kde se pivo vaří, tam se dobře daří.</i></indent>\n<indent=40>—Czech proverb</indent>

info.ethnic-bump-liquor.icon	<sprite name="skill ethnic">
info.ethnic-bump-liquor.name	구세계 지식: 증류주
info.ethnic-bump-liquor.desc	이 기술을 배우면, <link="moonshine">증류주</link> 작업에 폴란드 증류주 스틸 확장을 추가하여 생산량을 급격히 증가시킬 수 있습니다.\n\n<i><indent=30>Well, between Scotch and nothin', I suppose I’d take Scotch. It’s the nearest thing to good moonshine I can find.</i>\n</indent><indent=40>—William Faulkner</indent>

info.ethnic-bump-fruit-brandy.icon	<sprite name="skill ethnic">
info.ethnic-bump-fruit-brandy.name	구세계 지식: 과일 증류
info.ethnic-bump-fruit-brandy.desc	이 기술을 배우면, <link="fruit-wine">과일 와인</link> 작업에 남슬라브 증류기 확장을 추가하여 생산량을 급격히 증가시킬 수 있습니다.\n\n<indent=30><i>I cook with wine, sometimes I even add it to the food.</i></indent>\n<indent=40>—W.C. Fields</indent>

info.better-bartending.icon	<sprite name="skill expansions">
info.better-bartending.name	더 나은 바텐딩
info.better-bartending.desc	이 기술을 배우면, <link="corner-speakeasy">코너 스피크이지</link>를 <link="small-speakeasy">소형 스피크이지</link>로 업그레이드할 수 있습니다.\n\n<indent=30><i>The speakeasy has replaced the saloon; a vast army of lawbreakers has appeared; many of our best citizens have openly ignored Prohibition.</i></indent>\n<indent=40>—John D. Rockefeller</indent>

info.label-counterfeiting.icon	<sprite name="skill labels">
info.label-counterfeiting.name	라벨 위조
info.label-counterfeiting.desc	이 기술을 배우면, <link="conversion-labels">위조 라벨 프린터</link>를 당신의 제어 하에 있는 사업장에 설치할 수 있습니다. 이 작업은 종이를 라벨로 변환하여 다양한 알콜의 생산에 사용됩니다.\n\n<i><indent=30><i>When the wine goes in, strange things come out.</i></indent>\n<indent=40>—Johann Schiller</indent>

info.ice-making.icon	<sprite name="skill ice making">
info.ice-making.name	얼음 만들기
info.ice-making.desc	이 기술을 배우면, <link="conversion-ice-house">얼음 하우스</link>를 당신의 제어 하에 있는 사업장에 설치할 수 있습니다. 이 작업은 휘발유를 이용해 물을 얼려 다양한 알콜 생산에 사용되는 얼음을 만듭니다.\n\n<i><indent=30><i>Civilization begins with distillation.</i></indent>\n<indent=40>—William Faulkner</indent>

info.gambling-numbers.icon	<sprite name="skill gambling">
info.gambling-numbers.name	넘버 게임
info.gambling-numbers.desc	이 기술을 배우면, 여러 가지 넘버 게임을 열 수 있는 기능이 잠금 해제되어 도박장에 설치할 수 있습니다.\n\n<i><indent=30><i>One should always play fairly when one has the winning cards.</i></indent>\n<indent=40>—Oscar Wilde</indent>

info.gambling-cards.icon	<sprite name="skill gambling">
info.gambling-cards.name	카드 게임
info.gambling-cards.desc	이 기술을 배우면, 여러 가지 카드 게임을 열 수 있는 기능이 잠금 해제되어 도박장에 설치할 수 있습니다.\n\n<i><indent=30><i>One should always play fairly when one has the winning cards.</i></indent>\n<indent=40>—Oscar Wilde</indent>

info.gambling-tables.icon	<sprite name="skill gambling">
info.gambling-tables.name	테이블 게임
info.gambling-tables.desc	이 기술을 배우면, 여러 가지 테이블 게임을 열 수 있는 기능이 잠금 해제되어 도박장에 설치할 수 있습니다.\n\n<i><indent=30><i>One should always play fairly when one has the winning cards.</i></indent>\n<indent=40>—Oscar Wilde</indent>

info.gambling-clean-money.icon	<sprite name="skill gambling">
info.gambling-clean-money.name	자금 세탁
info.gambling-clean-money.desc	이 기술을 배우면, <link="gambling-den">소형 도박장</link>을 업그레이드하여 더 많은 기능을 한 번에 지원할 수 있고, 더 많은 수익성 있는 기능도 추가할 수 있습니다.\n\n<i><indent=30><i>One should always play fairly when one has the winning cards.</i></indent>\n<indent=40>—Oscar Wilde</indent>

info.gambling-secret-books.icon	<sprite name="skill gambling">
info.gambling-secret-books.name	부정한 회계
info.gambling-secret-books.desc	이 기술을 배우면, <link="gambling-den">중형 도박장</link> 또는 <link="casino">소형 카지노</link>를 업그레이드하여 더 많은 기능을 한 번에 지원할 수 있고, 더 많은 수익성 있는 기능도 추가할 수 있습니다.\n\n<i><indent=30><i>One should always play fairly when one has the winning cards.</i></indent>\n<indent=40>—Oscar Wilde</indent>

info.gambling-high-rollers.icon	<sprite name="skill gambling">
info.gambling-high-rollers.name	하이 롤러 잉크
info.gambling-high-rollers.desc	이 기술을 배우면 도박장 운영을 최고 수준으로 업그레이드할 수 있고, 하이 롤러들을 타겟으로 한 여러 기능을 잠금 해제할 수 있습니다.\n\n<i><indent=30><i>One should always play fairly when one has the winning cards.</i></indent>\n<indent=40>—Oscar Wilde</indent>

info.gambling-furnishing.icon	<sprite name="skill gambling">
info.gambling-furnishing.name	수입 가구
info.gambling-furnishing.desc	이 기술을 배우면, 해외에서 가구를 수입하여 도박장에 여러 가지 개선 기능을 추가할 수 있습니다.\n\n<i><indent=30><i>One should always play fairly when one has the winning cards.</i></indent>\n<indent=40>—Oscar Wilde</indent>

info.gambling-service.icon	<sprite name="skill gambling">
info.gambling-service.name	매너있는 서비스
info.gambling-service.desc	전문적이고 비위협적인 직원들이 고객들이 당신의 범죄 조직을 잊게 만듭니다. 이 서비스를 통해 일반 손님들에게 더 얇은 신용 한도를 제공하고 그들에게 채무를 더 빨리 갚게 할 수 있습니다.\n\n<b>필요한 기술:</b>\n<sprite name="skill gambling"><link="gambling-cards">카드 게임</link>, <sprite name="skill gambling"><link="gambling-numbers">넘버 게임</link>, <sprite name="skill gambling"><link="gambling-tables">테이블 게임</link>, <sprite name="skill gambling"><link="gambling-service">매너있는 서비스</link><sprite name="res cash"> 2500</indent>\n\n<i><indent=30><i>One should always play fairly when one has the winning cards.</i></indent>\n<indent=40>—Oscar Wilde</indent>

info.gambling-staff.icon	<sprite name="skill gambling">
info.gambling-staff.name	친절한 직원
info.gambling-staff.desc	이 기술을 배우면, 도박장에서 고용하고 훈련시킬 수 있는 전문 직원들이 잠금 해제되어 도박장에 여러 가지 개선 기능을 추가할 수 있습니다.\n\n<i><indent=30><i>One should always play fairly when one has the winning cards.</i></indent>\n<indent=40>—Oscar Wilde</indent>

info.starter-buildings.icon	<sprite name="skill ethnic">
info.starter-buildings.name	좋은 건물
info.starter-buildings.desc	이 기술을 배우면, 새 건물을 짓는 비용이 절감되고, 운영 관리자의 경험치 획득량이 증가하며, 작업으로 발생하는 히트를 줄일 수 있습니다.

info.starter-crew.icon	<sprite name="skill ethnic">
info.starter-crew.name	범죄 조직
info.starter-crew.desc	이 기술을 배우면, 소속된 민족 그룹에서의 관계 향상, 불법 물품 거래에서의 이점이 증가하고, 미션의 수가 증가합니다.

info.starter-cops.icon	<sprite name="skill ethnic">
info.starter-cops.name	법에 대한 존경
info.starter-cops.desc	이 기술을 배우면, 경찰과의 협상에서 더 효율적이 되어 뇌물 비용이 감소하고, 뇌물 효과 기간이 증가하며, 경찰이 당신의 사업이나 지역을 급습할 가능성이 줄어듭니다.

info.starter-vehicles.icon	<sprite name="skill ethnic">
info.starter-vehicles.name	천부적인 기계공
info.starter-vehicles.desc	이 기술을 배우면, 차량 수리 비용이 절감되고, 차량 손상 속도가 줄어들며, 트럭 슬롯이 추가됩니다.

