KEY	Korean	English
__id	ko	en
__name	한국어	English

button.play	플레이
skill.improved-homebooze-home-brew-quest.name	훨씬 더 많은 맥아
skill.improved-homebooze-home-brew-quest.desc	{$firstname} {$lastname}에게 지불하면 수제 맥주 생산을 50% 늘릴 수 있습니다.

skill.improved-homebooze-brick-wine.name	보너스 벽돌
skill.improved-homebooze-brick-wine.icon	<sprite name="skill brick-wine-upgrade">
skill.improved-homebooze-brick-wine.desc	이 기술을 배우면 기존 뒷방 와인 작업을 확장 벽돌 와인 작업으로 <b>업그레이드</b>할 수 있습니다. 업그레이드되면 벽돌 와인 생산이 50% 증가합니다.
skill.improved-homebooze-brick-wine.conv	당신의 작은 벽돌 와인 작업에 대해 들었습니다. 더 많이 만들 수 있는 방법에 대한 아이디어가 있을 수 있습니다. 현재 공급품 중 일부를 가져와서 얼마나 좋은지 볼 수 있게 해주세요. 그러면 아마도 생산을 늘릴 수 있는 방법에 대한 조언을 줄 수 있을 것입니다.
skill.improved-homebooze-brick-wine-quest.name	보너스 벽돌
skill.improved-homebooze-brick-wine-quest.desc	{$firstname} {$lastname}에게 벽돌 와인을 가져가서 벽돌 와인 생산을 늘릴 수 있는지 확인하세요.

skill.improved-homebooze-fruit-wine.name	풍성한 작업
skill.improved-homebooze-fruit-wine.desc	이 기술을 배우면 기존 뒷방 과일 와인 작업을 확장 과일 와인 작업으로 <b>업그레이드</b>할 수 있습니다. 업그레이드되면 과일 와인 생산이 50% 증가합니다.
skill.improved-homebooze-fruit-wine.conv	이 도시에 뭐가 필요한지 아세요? 더 많은 과일 와인입니다. 옛날에는 집에서 만드는 것이었지만, 거기서 수익성 있는 일을 하고 있다고 생각합니다. 더 만드는 방법을 보여드릴 수 있습니다.
skill.improved-homebooze-fruit-wine-quest.name	풍성한 작업
skill.improved-homebooze-fruit-wine-quest.desc	{$firstname} {$lastname}에게 지불하면 수제 과일 와인 생산을 50% 늘릴 수 있습니다.

skill.champagne-making.name	샴페인 제조법
skill.champagne-making.icon	<sprite name="skill champagne">
skill.champagne-making.desc	술 생산에 약간의 재능과 거품을 추가하는 방법을 배워 고급 레스토랑과 클럽의 상류층 고객에게 샴페인을 판매하세요.
skill.champagne-making.conv	아무에게나 이 제안을 하지는 않겠지만, 포도로 모든 종류의 알코올을 만드는 데 얼마나 숙련되었는지 알고 있습니다. 그리고 저는 약간의 자유 시간과 공간이 있습니다. 재료를 제공해 주시면, 샴페인과 매우 유사한 것을 만드는 방법을 알아낼 수 있다고 꽤 확신합니다. 관심 있으신가요?
skill.champagne-making-quest.name	샴페인 제조법
skill.champagne-making-quest.desc	당신의 지인이 샴페인과 매우 유사한 것을 만드는 방법을 완성할 수 있도록 재료를 공급하세요.

skill.dark-rum-making.name	향신료 럼 제조
skill.dark-rum-making.icon	<sprite name="skill dark-rum">
skill.dark-rum-making.desc	일반 럼도 괜찮습니다. 하지만 향신료 럼은 위풍과 개성이 있습니다. 위풍과 개성에 훨씬 더 많이 청구할 수 있습니다.
skill.dark-rum-making.conv	이 법 이전에는 매우 다양한 종류의 럼이 있었습니다. 그 시절이 그립지 않나요? 사실, 몇몇 친구들과 저는 다크 럼에 대한 꽤 좋은 레시피를 생각해 냈습니다. 소량만 만들었지만, 물품을 구해주시면 당신이 관심 있을 만한 양으로 확대하는 방법을 알아낼 수 있을 것입니다.
skill.dark-rum-making-quest.name	향신료 럼 제조
skill.dark-rum-making-quest.desc	친구가 수제 다크 럼 레시피를 산업 수준으로 확대할 수 있도록 재료를 제공하세요.

skill.beer-kegs.name	통 맥주
skill.beer-kegs.icon	<sprite name="skill beer-kegs">
skill.beer-kegs.desc	병맥주는 번거롭고 규모가 잘 늘어나지 않습니다. 하지만 철제 통에 넣으면, 이제 규모의 경제에 대해 이야기하는 것입니다.
skill.beer-kegs.conv	당신의 맥주는 나쁘지 않습니다. 사실, 금주법이 없어도 경쟁할 수 있을 정도로 발전했습니다. 생산 규모를 확대하고 번거로운 병입 대신 통으로 만드는 것을 도와드리고 싶습니다. 맥주와 철제 통 몇 개를 가져오면 우리가 어떻게 했는지 보여드리겠습니다.
skill.beer-kegs-quest.name	통 맥주
skill.beer-kegs-quest.desc	맥주와 철제 통 몇 개를 가져와서 통으로 맥주를 생산하는 방법을 배우세요.


skill.mixed-drinks.name	칵테일 제조
skill.mixed-drinks.icon	<sprite name="skill beer-kegs">
skill.mixed-drinks.desc	고급 칵테일을 제조하여 더 높은 가격에 판매할 수 있습니다.
skill.mixed-drinks.conv	네 술집엔 분위기가 있어. 그냥 술 퍼주는 곳이 아니라는 거지. 고급 칵테일 만드는 법을 가르쳐주지. 제대로 된 재료 몇 가지만 구해오면 손님들이 두 배는 더 낼 거야.
skill.mixed-drinks-quest.name	칵테일 제조와 음료 믹싱
skill.mixed-drinks-quest.desc	고급 술과 재료를 가져와서 칵테일 제조법을 배운다.

skill.drug-distribution.name	암흑가 입문
skill.drug-distribution.icon	<sprite name="skill beer-kegs">
skill.drug-distribution.desc	암흑가 유통망에 진입하여 불법 물질 거래를 시작할 수 있습니다.
skill.drug-distribution.conv	이 바닥에서 오래 버티려면 술만으론 안 돼. 더 수익성 좋은 물건들이 있거든. 내가 공급선 몇 군데 소개해줄 수 있어. 하지만 각오는 해야 해. 이건 술 장사보다 훨씬 위험하니까.
skill.drug-distribution-quest.name	금주법 시대의 암흑가
skill.drug-distribution-quest.desc	암흑가 거래에 필요한 초기 자금과 인맥을 확보한다.

skill.drug-distributionstart.name	소규모 딜러
skill.drug-distributionstart.icon	<sprite name="skill beer-kegs">
skill.drug-distributionstart.desc	게임 시작 시 소량의 불법 물질을 판매할 수 있는 딜러를 운영할 수 있습니다.
skill.drug-distributionstart.conv	시작이 반이야. 소규모로 시작해도 괜찮아. 신뢰할 만한 공급선 하나만 있으면 돼. 천천히 키워가면 되는 거지. 리스크도 적고.
skill.drug-distributionstart-quest.name	소규모 딜러
skill.drug-distributionstart-quest.desc	초보 딜러로 시작하기 위한 기본 물자와 거래처를 확보한다.

skill.drug-distribution-low.name	지역 마약 유통
skill.drug-distribution-low.icon	<sprite name="skill beer-kegs">
skill.drug-distribution-low.desc	지역 단위의 마약 유통망을 구축하여 안정적인 수익을 확보할 수 있습니다.
skill.drug-distribution-low.conv	이제 좀 자리 잡았으니 확장할 때야. 이 동네 전체에 네 물건을 공급하는 거지. 단골 거래처 몇 군데만 확보하면 매달 꾸준한 돈이 들어와.
skill.drug-distribution-low-quest.name	지역 마약 유통
skill.drug-distribution-low-quest.desc	지역 유통망 구축에 필요한 거래처와 자금을 확보한다.

skill.large-drug-distribution.name	대량 마약 유통
skill.large-drug-distribution.icon	<sprite name="skill beer-kegs">
skill.large-drug-distribution.desc	도시 전체를 대상으로 대규모 마약 유통 사업을 운영할 수 있습니다.
skill.large-drug-distribution.conv	소규모는 이제 그만. 네가 이 도시 전체의 주요 공급자가 되는 거야. 물론 위험도 크지. 하지만 수익은 상상을 초월해. 준비됐으면 내가 큰손들한테 소개시켜주지.
skill.large-drug-distribution-quest.name	대량 마약 유통
skill.large-drug-distribution-quest.desc	대량 유통에 필요한 창고, 운송 수단, 대형 거래처를 확보한다.

skill.moneylaundering.name	자금 세탁 101
skill.moneylaundering.icon	<sprite name="skill beer-kegs">
skill.moneylaundering.desc	합법 사업체를 통해 불법 자금을 세탁하는 기초적인 방법을 배웁니다.
skill.moneylaundering.conv	돈을 많이 벌면 문제가 생겨. 세무서가 코를 킁킁거리기 시작하거든. 합법 사업 하나 차려서 돈을 세탁하는 법을 가르쳐주지. 기초부터 시작하면 돼.
skill.moneylaundering-quest.name	자금 세탁 101
skill.moneylaundering-quest.desc	소규모 합법 사업을 통한 기초적인 돈세탁 방법을 배운다.

skill.moneylaunderingmid.name	자금 세탁 102
skill.moneylaunderingmid.icon	<sprite name="skill beer-kegs">
skill.moneylaunderingmid.desc	더 큰 규모의 자금을 세탁할 수 있는 중급 기법을 습득합니다.
skill.moneylaunderingmid.conv	이제 규모가 커졌으니 더 복잡한 방식이 필요해. 여러 사업체를 거치면서 돈을 돌리는 거지. 내가 아는 회계사 한 명 소개시켜줄게. 그 친구가 도와줄 거야.
skill.moneylaunderingmid-quest.name	자금 세탁 102
skill.moneylaunderingmid-quest.desc	중급 수준의 자금 세탁 기법과 필요한 사업체를 확보한다.

skill.moneylaunderinghigh.name	자금 세탁 103
skill.moneylaunderinghigh.icon	<sprite name="skill beer-kegs">
skill.moneylaunderinghigh.desc	대규모 자금을 완벽하게 세탁할 수 있는 고급 기술을 마스터합니다.
skill.moneylaunderinghigh.conv	이제 진짜 큰돈을 다루는 법을 알려주지. 은행, 부동산, 해외 계좌까지 동원하는 거야. 이 정도면 연방 수사관들도 추적 못 해. 물론 비용은 좀 들지.
skill.moneylaunderinghigh-quest.name	자금 세탁 103
skill.moneylaunderinghigh-quest.desc	고급 자금 세탁 네트워크와 국제 금융 루트를 확보한다.

skill.talent-scout.name	탤런트 스카우트
skill.beer-kegs.icon	<sprite name="skill beer-kegs">
skill.talent-scout.desc	뮤지션, 배우 등 엔터테인먼트 인재를 발굴하여 수익을 창출합니다.
skill.talent-scout.conv	이 도시엔 재능 있는 애들이 넘쳐나. 재즈 연주자, 밴드, 배우... 제대로 된 기회만 주면 스타가 될 놈들이지. 내가 극장 주인들이랑 음반사 사람들 알아. 좋은 신인 발굴하면 중개 수수료로 짭짤하게 벌 수 있어.
skill.talent-scout-quest.name	탤런트 스카우트
skill.talent-scout-quest.desc	엔터테인먼트 업계 인맥과 인재 발굴 노하우를 습득한다.

skill.jewelersource.name	보석 사업
skill.beer-kegs.icon	<sprite name="skill beer-kegs">
skill.jewelersource.desc	훔친 보석을 빠르게 현금화할 수 있는 암시장 루트를 확보합니다.
skill.jewelersource.conv	보석 장사는 쏠쏠해. 부피는 작은데 값은 비싸거든. 내가 아는 보석상이 있어. 질문 안 하고 좋은 값에 사주지. 소개시켜줄 테니 관계 잘 유지해.
skill.jewelersource-quest.name	보석 아웃소싱
skill.jewelersource-quest.desc	훔친 보석을 처리할 암시장 보석상 거래처를 확보한다.

skill.realestate.name	부동산 사업
skill.beer-kegs.icon	<sprite name="skill beer-kegs">
skill.realestate.desc	부동산 투자를 통해 안정적인 수익과 자금 세탁 루트를 확보합니다.
skill.realestate.conv	부동산은 절대 안 망해. 집값은 계속 오르거든. 게다가 돈세탁하기도 좋고. 내가 괜찮은 부동산 중개인 알아. 우리끼리 좋은 매물 먼저 확보할 수 있어.
skill.realestate-quest.name	주택 부동산
skill.realestate-quest.desc	부동산 투자와 관리 방법, 그리고 신뢰할 중개인을 확보한다.

skill.usedcardealer.name	중고차 사업
skill.beer-kegs.icon	<sprite name="skill beer-kegs">
skill.usedcardealer.desc	중고차 판매 사업을 통해 합법적인 위장과 자금 세탁 기회를 얻습니다.
skill.usedcardealer.conv	중고차 장사 해봤어? 현금 거래 천지야. 장부 조작하기도 쉽고. 합법 사업으로 위장하기 딱 좋지. 내가 중고차 경매장 루트 알려줄게.
skill.usedcardealer-quest.name	중고차 딜러
skill.usedcardealer-quest.desc	중고차 거래 네트워크와 경매장 접근 권한을 확보한다.

skill.cannabis-production.name	대마 재배
skill.label-counterfeiting.icon	<sprite name="skill label-counterfeiting">
skill.cannabis-production.desc	대마초를 직접 재배하여 안정적인 공급원을 확보합니다.
skill.cannabis-production.conv	밀주 만드는 것처럼 대마도 직접 키울 수 있어. 은밀한 장소만 있으면 돼. 씨앗이랑 기본 장비 구해오면 처음부터 끝까지 알려줄게. 수익률 괜찮아.
skill.cannabis-production-quest.name	대마 입문
skill.cannabis-production-quest.desc	대마초 재배에 필요한 장비와 기술을 습득한다.

skill.cannabis-packaging.name	대마 재포장
skill.cannabis-packaging.icon	<sprite name="skill beer-kegs">
skill.cannabis-packaging.desc	대마초를 소분 포장하여 유통 효율을 높이고 수익을 극대화합니다.
skill.cannabis-packaging.conv	대량으로 구입해서 소량으로 나눠 파는 거야. 마진이 두 배는 남지. 포장 기술이랑 적정 중량 재는 법 알려줄게. 저울 하나면 돼.
skill.cannabis-packaging-quest.name	대마 재포장
skill.cannabis-packaging-quest.desc	대마초를 효율적으로 소분 포장하는 기술을 배운다.

skill.opium-production.name	헤로인 입문
skill.beer-kegs.icon	<sprite name="skill beer-kegs">
skill.opium-production.desc	헤로인 거래에 입문하여 고수익 마약 시장에 진출합니다.
skill.opium-production.conv	헤로인은 장난 아니야. 위험도 크고 연방 놈들도 눈에 불을 켜고 쫓아다니지. 하지만 수익은... 상상을 초월해. 내가 공급선 하나 알아. 신중하게 접근하면 큰돈 벌 수 있어.
skill.opium-production-quest.name	헤로인 입문
skill.opium-production-quest.desc	헤로인 공급망과 취급 방법에 대한 기초 지식을 습득한다.

skill.opium-packaging.name	아편 양귀비 재배
skill.beer-kegs.icon	<sprite name="skill beer-kegs">
skill.opium-packaging.desc	아편 양귀비를 직접 재배하여 헤로인 공급을 독점합니다.
skill.opium-packaging.conv	아편 양귀비는 특별한 기후가 필요해. 하지만 제대로 키우면 공급선이 필요 없지. 은밀한 농장 하나만 있으면 돼. 씨앗이랑 재배 기술 전수해줄게.
skill.opium-packaging-quest.name	아편 양귀비 재배
skill.opium-packaging-quest.desc	양귀비 재배에 필요한 장소, 씨앗, 그리고 재배 기술을 확보한다.

skill.coca-production.name	코카 식물 재배
skill.beer-kegs.icon	<sprite name="skill beer-kegs">
skill.coca-production.desc	코카 식물을 재배하여 코카인 원료를 직접 생산합니다.
skill.coca-production.conv	코카 잎은 남미에서 들여오는 게 보통이지만, 조건만 맞으면 여기서도 키울 수 있어. 온실 하나면 충분해. 내가 아는 식물학자가 방법 알려줄 거야.
skill.coca-production-quest.name	코카 식물 재배
skill.coca-production-quest.desc	코카 식물 재배를 위한 온실 설비와 재배 기술을 확보한다.

skill.coca-packaging.name	코카인 재포장
skill.beer-kegs.icon	<sprite name="skill beer-kegs">
skill.coca-packaging.desc	코카인을 소분 포장하여 거리 판매에 최적화합니다.
skill.coca-packaging.conv	순도 높은 걸 대량으로 사서 적당히 섞어 소분하는 거야. 이게 진짜 돈 버는 방법이지. 화학 지식 좀 필요하긴 한데, 내가 아는 사람 소개시켜줄게.
skill.coca-packaging-quest.name	코카인 재포장
skill.coca-packaging-quest.desc	코카인 희석과 소분 포장 기술, 그리고 필요한 화학 약품을 확보한다.

skill.advanced-weapon-production.name	무기 아웃소싱
skill.beer-kegs.icon	<sprite name="skill beer-kegs">
skill.advanced-weapon-production.desc	고급 화기를 안정적으로 공급받을 수 있는 암시장 루트를 확보합니다.
skill.advanced-weapon-production.conv	톰슨 기관단총, 산탄총, 권총... 좋은 무기는 비싸지만 필수야. 내가 아는 무기상이 있어. 군부대에서 빼돌린 물건들 취급하지. 소개시켜줄게.
skill.advanced-weapon-production-quest.name	무기 아웃소싱
skill.advanced-weapon-production-quest.desc	고급 화기를 공급받을 수 있는 암시장 무기상을 확보한다.

skill.weapon-production.name	무기 제작
skill.beer-kegs.icon	<sprite name="skill beer-kegs">
skill.weapon-production.desc	간이 무기를 직접 제작하여 비용을 절감하고 공급을 자체화합니다.
skill.weapon-production.conv	총 만드는 거 어렵지 않아. 공구랑 부품만 있으면 돼. 물론 불법이긴 하지만, 우리한테 그게 문제야? 내가 아는 정비공이 기초 가르쳐줄 거야.
skill.weapon-production-quest.name	무기 제작
skill.weapon-production-quest.desc	간이 무기 제작에 필요한 공구와 기술을 습득한다.

skill.brothels.name	매춘업소 관리
skill.brothels.desc	기본 매춘업소 운영 방법을 배워 도박장에 새로운 수익원을 추가합니다.
skill.brothels.conv	우리 가게에 오래 기다리는 손님들이 많아. 그래서 기다리면서 돈 좀 벌고 싶은 사람 있냐고 물어보기 시작했지. 그래서 작은 숫자 게임을 시작했는데, 이제 우리가 감당하기엔 너무 커졌어. 네가 우리를 인수하면, 게임의 세부 사항을 파악해서 자기 사업에 적용할 수 있을 거야.
skill.brothels-quest.name	매춘업소 관리
skill.brothels-quest.desc	현금을 전달하고 숫자 게임을 인수하면 네 도박장에 새로운 기능을 설정할 수 있어.

skill.fancy-brothels.name	고급 매춘업소 관리
skill.fancy-brothels.desc	고급 매춘업소 운영 기법을 습득하여 더 큰 수익을 창출합니다.
skill.fancy-brothels.conv	우리 가게에 오래 기다리는 손님들이 많아. 그래서 기다리면서 돈 좀 벌고 싶은 사람 있냐고 물어보기 시작했지. 그래서 작은 숫자 게임을 시작했는데, 이제 우리가 감당하기엔 너무 커졌어. 네가 우리를 인수하면, 게임의 세부 사항을 파악해서 자기 사업에 적용할 수 있을 거야.
skill.fancy-brothels-quest.name	고급 매춘업소 관리
skill.fancy-brothels-quest.desc	현금을 전달하고 매춘업소를 인수하면 네 도박장에 새로운 기능을 설정할 수 있어.

skill.loan-shark.name	고급 사채업 관리
skill.loan-shark.desc	전문적인 사채업 운영 방법을 배워 고리대금 사업을 확장합니다.
skill.loan-shark.conv	우리 가게에 오래 기다리는 손님들이 많아. 그래서 기다리면서 돈 좀 벌고 싶은 사람 있냐고 물어보기 시작했지. 그래서 작은 숫자 게임을 시작했는데, 이제 우리가 감당하기엔 너무 커졌어. 네가 우리를 인수하면, 게임의 세부 사항을 파악해서 자기 사업에 적용할 수 있을 거야.
skill.loan-shark-quest.name	고급 사채업 관리
skill.loan-shark-quest.desc	현금을 전달하고 사채업자를 인수하면 네 도박장에 새로운 기능을 설정할 수 있어.

skill.aged-whiskey.name	숙성 위스키
skill.aged-whiskey.icon	<sprite name="skill aged-whiskey">
skill.aged-whiskey.desc	신선한 위스키는 취하게 합니다. 하지만 숙성된 위스키는 부드럽고 오크향이 나는 마무리로 그 목표를 달성합니다. 그 탄닌은 확실히 가격을 상당히 부풀릴 수 있게 해줄 것입니다.
skill.aged-whiskey.conv	당신의 위스키. 괜찮습니다. 하지만 금주법 이전에는 이 숙성된 사랑스러운 엘릭서가 있었습니다. 약간의 오크, 약간의 인내심, 그리고 제가 우연히 알고 있는 몇 가지 요령으로, 당신이 아마도 개선된 제품을 판매하기 시작할 수 있을 정도로 오래된 숙성 위스키에 충분히 가까워질 수 있다고 생각합니다.
skill.aged-whiskey-quest.name	숙성 위스키
skill.aged-whiskey-quest.desc	{$firstname} {$lastname}에게 물품이 필요합니다. 가져다주면 위스키에 적어도 숙성의 모습을 추가하는 방법을 배울 것입니다.

skill.gin-making.name	제대로 된 진
skill.gin-making.icon	<sprite name="skill gin">
skill.gin-making.desc	금주법 이전의 오래된 진 레시피를 생산에 도입합니다.
skill.gin-making.conv	거리의 소문으로는 당신이 제대로 된 진 레시피를 찾고 있다고 합니다. 그것들은 증류소에서 신중하게 보호된 비밀이었습니다. 하지만 저는 하나 가지고 있습니다. 재료를 구해주면 시도해 보고 좋으면 당신에게 전달하겠습니다.
skill.gin-making-quest.name	제대로 된 진
skill.gin-making-quets.desc	{$firstname} {$lastname}이 구원된 진 레시피를 시도할 것입니다. 재료를 구하면 당신도 제대로 된 진을 만들 수 있습니다.

skill.cordial-making.name	코디얼 제조
skill.cordial-making.icon	<sprite name="skill cordials">
skill.cordial-making.desc	코디얼과 기타 리큐르는 도시의 클럽과 비밀 술집에서 확산되는 화려한 칵테일의 핵심 재료입니다. 그것들을 만드는 방법을 배우면 이 새로운 트렌드로부터 이익을 얻을 수 있습니다.
skill.cordial-making.conv	당신은 어떤지 모르겠지만, 술을 마시러 갈 때마다 항상 어떤 종류의 화려한 코디얼이 들어간 새로운 칵테일이 있습니다. 우리 가족은 이것들 중 몇 가지를 알고 있습니다. 그래서 재료를 구해주면 도시 전체에서 판매할 수 있는 것들을 분명히 생각해낼 수 있을 것입니다.
skill.cordial-making-quest.name	코디얼 제조
skill.cordial-making-quest.desc	친구에게 재료를 제공하여 코디얼을 만드는 방법을 배우세요.


skill.delivery-driving.name	트럭 운전
skill.delivery-driving.icon	<sprite name="skill garages">
skill.delivery-driving.desc	배달 운전에 대해 배우면 운영할 수 있는 트럭 수가 증가하고 모든 차량의 마모가 감소합니다.
skill.delivery-driving.conv	저는 배달 트럭을 운전했었고 기꺼이 당신을 데리고 나가서 어떻게 작동하는지 보여드리겠습니다. 당신과 당신의 조직원들이 적절한 수업 몇 개로 정말 도움이 될 것 같습니다. 저를 위해 가게를 봐줄 사람에게 지불할 현금만 필요합니다.
skill.delivery-driving-quest.name	트럭 운전
skill.delivery-driving-quest.desc	{$firstname} {$lastname}에게 현금을 제공하면 배달 트럭을 운영하는 방법을 가르쳐줄 것입니다.

skill.small-garages.name	차고 건설
skill.small-garages.icon	<sprite name="skill garages">
skill.small-garages.desc	이 기술을 배우면 통제하는 건물 중 하나에 작은 차고를 건설할 수 있습니다.\n\n이 기술을 습득하면 조직이 통제하는 건물에 <i>소형 차고</i>를 <b>건설</b>할 수 있습니다.
skill.small-garages.conv	자신의 차량을 수리하고 싶으신가요? 존경합니다. 팔꿈치 기름을 좀 넣을 준비가 되셨군요. 제 자신의 확장을 도와줄 수 있다면 설정하는 방법을 보여드리겠습니다. 재료와 약간의 현금만 필요합니다, 음, 손바닥에 기름칠하기 위해.
skill.small-garages-quest.name	차고 건설
skill.small-garages-quest.desc	{$firstname} {$lastname}에게 현금과 건축 자재를 제공하면 자신의 차고를 설정하는 방법을 보여줄 것입니다.

skill.truck-garage.name	트럭 수리 베이
skill.truck-garage.icon	<sprite name="skill truck-bays">
skill.truck-garage.desc	이 기술을 배우면 통제하는 건물 중 하나에 <i>트럭 수리 베이</i>를 <b>건설</b>할 수 있습니다.
skill.truck-garage-brick-wine.conv	더 많은 트럭을 운영하고 싶으신가요? 부탁이 있습니다. 당신이 벽돌 와인을 가지고 있고 좋은 품질이라는 것을 알고 있습니다. 작업 조원들과 나눌 수 있을 만큼 보내주면 그들이 기꺼이 트럭을 고칠 수 있는 장소를 만드는 방법을 보여줘서 더 많은 트럭을 가질 수 있을 것입니다.
skill.truck-garage-cider.conv	더 많은 트럭을 운영하고 싶으신가요? 부탁이 있습니다. 당신이 사이다를 가지고 있고 좋은 품질이라는 것을 알고 있습니다. 작업 조원들과 나눌 수 있을 만큼 보내주면 그들이 기꺼이 트럭을 고칠 수 있는 장소를 만드는 방법을 보여줘서 더 많은 트럭을 가질 수 있을 것입니다.
skill.truck-garage-home-brew.conv	더 많은 트럭을 운영하고 싶으신가요? 부탁이 있습니다. 당신이 수제 맥주를 가지고 있고 좋은 품질이라는 것을 알고 있습니다. 작업 조원들과 나눌 수 있을 만큼 보내주면 그들이 기꺼이 트럭을 고칠 수 있는 장소를 만드는 방법을 보여줘서 더 많은 트럭을 가질 수 있을 것입니다.
skill.truck-garage-moonshine.conv	더 많은 트럭을 운영하고 싶으신가요? 부탁이 있습니다. 당신이 밀주를 가지고 있고 좋은 품질이라는 것을 알고 있습니다. 작업 조원들과 나눌 수 있을 만큼 보내주면 그들이 기꺼이 트럭을 고칠 수 있는 장소를 만드는 방법을 보여줘서 더 많은 트럭을 가질 수 있을 것입니다.
skill.truck-garage-apple-jack.conv	더 많은 트럭을 운영하고 싶으신가요? 부탁이 있습니다. 당신이 애플잭을 가지고 있고 좋은 품질이라는 것을 알고 있습니다. 작업 조원들과 나눌 수 있을 만큼 보내주면 그들이 기꺼이 트럭을 고칠 수 있는 장소를 만드는 방법을 보여줘서 더 많은 트럭을 가질 수 있을 것입니다.
skill.truck-garage-fruit-wine.conv	더 많은 트럭을 운영하고 싶으신가요? 부탁이 있습니다. 당신이 과일 와인을 가지고 있고 좋은 품질이라는 것을 알고 있습니다. 작업 조원들과 나눌 수 있을 만큼 보내주면 그들이 기꺼이 트럭을 고칠 수 있는 장소를 만드는 방법을 보여줘서 더 많은 트럭을 가질 수 있을 것입니다.
skill.truck-garage-fruit-wine.conv	더 많은 트럭을 운영하고 싶으신가요? 부탁이 있습니다. 당신이 과일 와인을 가지고 있고 좋은 품질이라는 것을 알고 있습니다. 작업 조원들과 나눌 수 있을 만큼 보내주면 그들이 기꺼이 트럭을 고칠 수 있는 장소를 만드는 방법을 보여줘서 더 많은 트럭을 가질 수 있을 것입니다.
skill.truck-garage-quest.name	트럭 수리 베이
skill.truck-garage-quest.desc	{$firstname} {$lastname}에게 술을 보내면 그들의 노동자들이 트럭 수리 베이를 설치하는 방법을 알아내는 데 도움을 줄 것입니다.

skill.truck-garage-improved.name	확장 수리 베이
skill.truck-garage-improved.icon	<sprite name="skill expanded-truck-bays">
skill.truck-garage-improved.desc	이 기술을 배우면 트럭 수리 베이를 <b>업그레이드</b>하여 트럭 용량을 늘리고 트럭 함대를 증가시킬 수 있습니다.
skill.truck-garage-improved.conv	수수료를 받고 제 사람들을 빌려드려 트럭 베이를 확장하는 방법을 보여드리겠습니다.
skill.truck-garage-improved-quest.name	확장 수리 베이
skill.truck-garage-improved-quest.desc	{$firstname} {$lastname}에게 현금을 전달하면 그들의 팀이 트럭 수리 베이를 업그레이드하는 방법을 보여줄 것입니다.

skill.car-bullies.name	협상 보조원
skill.car-bullies.desc	새 차량을 찾으러 갈 때 간신히 숨긴 무기를 가진 친구가 동행하게 하세요. 가격이 기적적으로 낮아질 것입니다.

		;; ethnic pack skills
skill.ethnic-production.name	고향 특산품
skill.ethnic-production.icon	<sprite name="skill ethnic">
skill.ethnic-production.desc	이 기술을 배우면 당신의 민족에 고유한 생산을 건설할 수 있습니다.
skill.ethnic-production.conv	미국에서 꽤 큰 움직임을 만들고 있는 것을 봅니다. 고향에서 우리가 했던 방식에 대한 지식이 도움이 될 수 있을 것 같은데, 가르쳐 드리려면 선불이 필요합니다.

skill.german-brewer.name	양조장 애호가
skill.german-brewer.icon	<sprite name="skill ethnic">
skill.german-brewer.desc	독일 민족의 맥주에 대한 넘치는 사랑은 판매할 때 더 높은 가격을 받을 수 있게 합니다.

skill.german-efficiency.name	독일식 효율성
skill.german-efficiency.icon	<sprite name="skill ethnic">
skill.german-efficiency.desc	시스템에 대한 지식과 헌신의 문화를 사용하여 새 작업을 설정할 때 건설 시간과 비용을 줄입니다.

skill.polish-spirits.name	정신적 미각
skill.polish-spirits.icon	<sprite name="skill ethnic">
skill.polish-spirits.desc	증류주에 대한 진정하고 오래된 폴란드인의 감상은 증류주를 판매할 때 약간의 인상을 받는 데 도움이 됩니다.

skill.polish-speaker.name	애국적 연설가
skill.polish-speaker.icon	<sprite name="skill ethnic">
skill.polish-speaker.desc	폴란드 민족의 고양에 대한 공유된 관심은 관계 비용 없이 더 큰 할인이나 가격 인상을 요청할 수 있게 합니다.

skill.italian-persuasion.name	강화된 설득
skill.italian-persuasion.icon	<sprite name="skill ethnic">
skill.italian-persuasion.desc	진정한 이탈리아 마피아는 사람들이 자신에 대해 어떻게 생각하는지 그렇게 신경 쓸 필요가 없어, 평소보다 훨씬 낮은 관계 수준에서 방해받지 않고 사업을 할 수 있게 합니다.


		;; expansion skills

skill.crock-return.name	위생 조치
skill.crock-return.desc	효모는 다른 작은 미생물과의 경쟁을 좋아하지 않는 경향이 있습니다. 그래서 물건을 깨끗하고 멸균되고 오염이 없는 상태로 유지하면 자신의 작은 효모 친구들을 추가하고 싶을 때 정말 도움이 될 수 있습니다.\n\n이 기술을 습득하면 일부 술 생산 작업을 <b>확장</b>할 수 있고 석제 항아리와 병 반환 작업 확장을 <b>잠금 해제</b>합니다.
skill.crock-return.conv	친구여, 증기의 힘을 받아들였습니까? 증기 기관을 말하는 것이 아니라, 정말 뜨거운 증기를 사용하여 작업을 위생적으로 유지할 수 있습니다. 그리고 위생적이라는 것은 상한 술이 적고 판매할 수 있는 것이 더 많다는 의미입니다. 적당한 수수료로 생산에 간단한 단계를 추가할 수 있는 방법을 보여드리겠습니다.
skill.crock-return-quest.name	위생 조치
